lost	top1_known	score	top10
aad	poʈʈ-	-6.2353	"[[""poʈʈ-"", -6.2353], [""patʃ-"", -6.3212], [""putʃ"", -6.9679], [""piː"", -7.9682], [""paɳ-"", -8.4112], [""oʈ-"", -8.4669], [""puɭ"", -8.8598], [""pul"", -8.8598], [""peɳ"", -8.8598], [""pal"", -8.8598]]"
aadi	piːr	-7.9641	"[[""piːr"", -7.9641], [""poːr"", -7.9641], [""poʈʈ-"", -9.0488], [""patʃ-"", -9.1408], [""pot̪"", -9.5417], [""pin̪"", -9.5417], [""pan̪"", -9.5417], [""putʃ"", -10.4636], [""paːraj"", -10.5179], [""piː"", -10.8313]]"
aadik	po	-9.8249	"[[""po"", -9.8249], [""paːʈu"", -10.4343], [""aʈʈu"", -10.4782], [""poːr"", -11.3212], [""piːr"", -11.4688], [""paht̪u"", -11.7394], [""puɻu"", -11.7694], [""pitu"", -12.0111], [""poʈʈ-"", -12.1198], [""patʃ-"", -12.2406]]"
aadiki	poːr	-12.689	"[[""poːr"", -12.689], [""pokaj"", -13.2716], [""po"", -13.3321], [""piːr"", -13.5681], [""pot̪"", -13.7284], [""paːʈu"", -13.94], [""aʈʈu"", -13.9853], [""paːraj"", -14.089], [""-oː"", -14.8551], [""poʈʈ-"", -14.9594]]"
aadikit	puli	-16.022	"[[""puli"", -16.022], [""pula"", -16.022], [""ajja"", -16.0835], [""poːr"", -16.124], [""kerri"", -16.3264], [""paːraj"", -16.5891], [""pokaj"", -16.7152], [""po"", -16.8393], [""oj-"", -16.8705], [""piːr"", -17.0365]]"
aadikite	put̪a-	-16.5818	"[[""put̪a-"", -16.5818], [""pera-"", -17.7046], [""putʃa-"", -18.7195], [""puli"", -19.5154], [""pula"", -19.5154], [""t̪oramp-"", -19.5383], [""poːr"", -19.5385], [""ajja"", -19.5906], [""paːraj"", -19.6031], [""piː"", -19.6776]]"
aadikites	put̪a-	-19.4052	"[[""put̪a-"", -19.4052], [""pera-"", -20.5268], [""putʃa-"", -21.5444], [""t̪oramp-"", -21.9703], [""jaː-"", -22.4918], [""piː"", -22.5094], [""paːraj"", -22.779], [""oj-"", -22.8038], [""poːr"", -22.9382], [""paːʈa-"", -22.9619]]"
aadikitesi	paːraj	-20.5645	"[[""paːraj"", -20.5645], [""poːr"", -21.8181], [""piːr"", -22.4996], [""put̪a-"", -22.5097], [""pokaj"", -22.9912], [""pera-"", -23.6057], [""putʃa-"", -24.6491], [""t̪oramp-"", -24.7863], [""jaː-"", -24.9508], [""t̪eːr"", -25.0704]]"
aaj	poʈʈ-	-6.2353	"[[""poʈʈ-"", -6.2353], [""patʃ-"", -6.3212], [""putʃ"", -6.9679], [""piː"", -7.9682], [""paɳ-"", -8.4112], [""oʈ-"", -8.4669], [""puɭ"", -8.8598], [""pul"", -8.8598], [""peɳ"", -8.8598], [""pal"", -8.8598]]"
aaja	putʃ	-8.6762	"[[""putʃ"", -8.6762], [""poʈʈ-"", -8.7797], [""patʃ-"", -9.1017], [""peʈʈi"", -10.0791], [""aɳʈʈ"", -10.3649], [""piː"", -10.7903], [""paːʈa-"", -10.8538], [""tʃuːʈ"", -11.1072], [""paɳ-"", -11.1108], [""paːʈu"", -11.1751]]"
aau	poʈʈ-	-6.2353	"[[""poʈʈ-"", -6.2353], [""patʃ-"", -6.3212], [""putʃ"", -6.9679], [""piː"", -7.9682], [""paɳ-"", -8.4112], [""oʈ-"", -8.4669], [""puɭ"", -8.8598], [""pul"", -8.8598], [""peɳ"", -8.8598], [""pal"", -8.8598]]"
ada	putʃ	-6.2694	"[[""putʃ"", -6.2694], [""piː"", -8.2247], [""paɳ-"", -8.6932], [""poʈʈ-"", -8.9215], [""paːʈa-"", -9.0109], [""peʈʈi"", -9.0207], [""paːʈu"", -9.0218], [""tʃuːʈ"", -9.0768], [""puɭ"", -9.0837], [""peɳ"", -9.0837]]"
adad	poʈʈ-	-9.0498	"[[""poʈʈ-"", -9.0498], [""patʃ-"", -9.1213], [""putʃ"", -9.7722], [""piː"", -11.0488], [""paːʈa-"", -11.1871], [""peːtʃ-"", -11.201], [""paɳ-"", -11.3617], [""oʈ-"", -11.5629], [""pitʃtʃ-"", -11.6367], [""paːʈu"", -11.8195]]"
