lost	known	score
a d	biɡa	-4.1605
a j	br	-4.958
 da	dab	-7.1294
a u	buzw	-7.4117
a s	bdw	-7.692
a i	bdw	-7.7166
a da	biɡa	-7.7408
 sar	br	-7.8485
a dad	babua	-8.3798
a ut	botʼ	-8.4823
a ja	br	-8.5361
 id	ama	-9.5784
 it	at	-9.6152
 ut	at	-9.6152
 dad	ama	-9.9378
 sa	dab	-10.2507
 ja	br	-10.2792
 jad	ama	-10.628
 in	bez	-10.6525
 ip	bez	-10.6525
 un	bez	-10.6525
a in	bez	-10.8995
a sar	br	-11.0236
a sa	bdw	-11.2001
a jad	biɡa	-11.2436
 utin	botʼ	-11.3708
 sara	br	-11.4274
a dada	babua	-11.8665
 dada	babua	-11.9554
 inaj	br	-12.1188
 idi	ama	-12.8734
 iti	at	-13.1862
 uti	at	-13.1862
 jas	dab	-13.3163
 ina	dab	-13.819
 una	dab	-13.819
 jadi	bade	-13.868
 dada 	berɡ	-14.2148
 ipi	bez	-14.2271
a ina	bez	-14.4459
a sara	br	-14.6027
a jadi	biɡa	-14.8238
 unak	biz	-14.898
 utinu 	bokʼw	-14.9478
 utinu	botʼ	-14.9503
 saram	br	-15.0063
a inaj	br	-15.0071
a dada 	babua	-15.3589
 unakan	biz	-15.6952
 inaja	br	-15.6969
 dada u	babua	-16.2158
 jasa	dab	-16.3049
 ipin	bez	-16.7061
 inai	bez	-17.1391
 jadik	bade	-17.1511
 inaid	bade	-17.4399
 sarame 	bdw	-17.4918
 unaka	biz	-17.8133
 sarame	band	-17.9428
a dada u	babua	-18.0205
a jadik	breɡ	-18.1136
a saram	br	-18.1819
 inajar	br	-18.1844
 utinu i	bokʼw	-18.5282
a inaja	br	-18.586
 dada ut	babua	-19.1569
 inaida	babua	-19.2229
 unakana	biz	-19.2748
 jasas	dab	-19.4381
 ipina	bez	-20.1407
 jadiki	bade	-20.4975
 jadikit	berq	-20.7078
a sarame	band	-20.7491
 inajare	band	-21.0827
 jasasar	br	-21.2549
a inajar	br	-21.2556
a jadiki	breɡ	-21.4158
 ipinam	beɣ	-21.8171
 jasasa	dab	-22.656
 ipinama	bɣaw	-25.0108
