lost	known	score
a d	bak	-7.0629
a u	bʱed	-7.1108
a s	bʱeħ	-7.4117
a sa	bʱeħɡ	-8.0969
a i	bʱeħ	-8.4978
a j	bʱeħ	-8.4978
 da	-ttu	-9.1304
 id	-ttu	-9.1364
a da	bʱeħɡ	-9.1853
a ja	bʱeħɡ	-9.1853
 ip	-ttu	-9.4494
 dad	-ttu	-9.7423
 it	bel	-9.9648
 ut	bel	-9.9648
a ut	bel	-10.2421
 sa	bʱeɡ	-10.5086
a sar	bʱeh	-10.6271
 ina	bʱeɡ	-10.6539
 una	bʱeɡ	-10.6539
a ina	bʱeɡ	-10.9319
 sar	bʱeh	-11.1824
 jad	bak	-11.2205
a in	bak	-11.3179
 ja	bak	-11.3862
 jas	bʱeɡ	-11.392
 jasa	bʱeɡ	-11.962
 in	atta	-11.9728
 un	atta	-11.9728
 idi	-ttu	-12.012
 jasas	bʱelɡʱ	-12.0796
 dada	-ttu	-12.6549
a dad	-ttu	-12.6605
a jad	bʱeħɡ	-12.7644
 ipi	-ttu	-13.0198
 unak	bʱeɡʷ	-13.3828
 inai	bʱeɡʷ	-13.3977
 inaj	bʱeɡʷ	-13.3977
 iti	bel	-13.5427
 uti	bel	-13.5427
a inaj	bʱeɡʷ	-13.6758
a sara	bʱeɡʷ	-13.9329
 sara	bʱeɡ	-14.744
 jadi	bak	-14.7773
a dada	-ttu	-15.5745
 jasasar	bʱerɡʱs	-15.6532
 jasasa	bʱelɡʱ	-15.6558
 unaka	bʱeɡʷ	-15.8038
 dada 	-ttu	-15.8381
 inaja	bʱeɡʷ	-16.2829
 inaid	bʱeɡʷ	-16.2919
a jadi	bʱeħɡ	-16.3432
 utinu	bʱed	-16.412
a saram	bʱeɡʷ	-16.5017
a inaja	bʱeɡʷ	-16.5646
 ipin	-ttu	-16.5852
 utin	bel	-17.0584
 utinu 	bʱejħ	-17.102
 ipina	bʱeɡ	-17.1037
 saram	bʱeɡʷ	-17.3809
 jadik	bʱeɡ	-18.1066
 unakan	bʱeɡʷ	-18.5902
a dada 	-ttu	-18.7583
 inajar	bʱeɡʷ	-19.0664
 dada u	-ttu	-19.1346
a jadik	bʱeħɡ	-19.2028
a inajar	bʱeɡʷ	-19.4511
 inaida	bʱeɡʷ	-19.4613
a sarame	bʱeɡʷ	-19.5848
 ipinam	bʱeɡʷ	-19.8476
 sarame	bʱeɡʷ	-20.3228
 utinu i	bʱejħ	-20.6816
 jadiki	bʱeɡʷ	-20.8286
 unakana	bʱeɡ	-20.8899
a dada u	-ttu	-22.0554
 inajare	bʱeɡʷ	-22.2087
a jadiki	bʱeɡʷ	-22.4924
 dada ut	-ttu	-22.4939
 ipinama	bʱeɡʷ	-22.7347
 sarame 	bʱeɡʷ	-23.5129
 jadikit	bel	-23.718
