linear_a_signs	linear_a_ipa	matched_word	score	top3_matches	ipa_length
a-a-di-k	aadik	bun	-7.7002	bun (-7.70); ɡor (-7.70); bur (-7.70)	5
a-a-di-ki	aadiki	bur	-11.2047	bur (-11.20); ɡul (-11.20); bun (-11.20)	6
a-a-di-ki-t	aadikit	ɡor	-14.7092	ɡor (-14.71); ɡul (-14.71); bur (-14.71)	7
a-a-di-ki-te	aadikite	bur	-18.2137	bur (-18.21); ɡul (-18.21); ɡor (-18.21)	8
a-a-di-ki-te-s	aadikites	bun	-21.7182	bun (-21.72); ɡor (-21.72); bur (-21.72)	9
a-a-di-ki-te-si	aadikitesi	bzu	-25.2193	bzu (-25.22); bun (-25.22); bur (-25.22)	10
a-da-da	adada	ɡab	-13.1893	ɡab (-13.19); ɡob (-13.19); brɡ (-13.19)	5
a-da-da-u	adadau	biɡa	-13.1601	biɡa (-13.16); ɡuɡa (-13.19); bade (-15.40)	6
a-da-da-u-t	adadaut	biɡa	-16.6409	biɡa (-16.64); bedʒ (-16.67); bidʒ (-16.67)	7
a-da-da-u-ti	adadauti	biɡa	-20.1218	biɡa (-20.12); bidʒ (-20.15); bedʒ (-20.15)	8
a-da-da-u-ti-n	adadautin	biɡa	-23.6026	biɡa (-23.60); bedʒ (-23.63); bidʒ (-23.63)	9
a-da-da-u-ti-nu	adadautinu	babua	-22.6446	babua (-22.64); biɡa (-25.47); ɡuɡa (-25.85)	10
a-da-u-t	adaut	bedʒ	-10.3735	bedʒ (-10.37); bidʒ (-10.37); barkʼ (-11.56)	5
a-da-u-ti	adauti	bedʒ	-13.8536	bedʒ (-13.85); bidʒ (-13.85); barkʼ (-15.05)	6
a-da-u-ti-n	adautin	bidʒ	-17.3336	bidʒ (-17.33); bedʒ (-17.33); betʃʼ (-18.54)	7
a-da-u-ti-nu	adautinu	babua	-16.7046	babua (-16.70); biɡa (-19.54); bade (-19.55)	8
a-da-u-ti-nu-i	adautinui	babua	-20.2092	babua (-20.21); biɡa (-23.03); bade (-23.04)	9
a-da-u-ti-nu-i-n	adautinuin	babua	-23.7138	babua (-23.71); biɡa (-26.52); bade (-26.54)	10
a-da-wa	adawa	ɡab	-15.8501	ɡab (-15.85); ɡob (-15.85); brɡ (-15.85)	5
a-da-wa-i	adawai	bzu	-16.0743	bzu (-16.07); ɡob (-17.36); bur (-17.38)	6
a-da-wa-i-j	adawaij	ɡul	-14.7117	ɡul (-14.71); bur (-14.71); bun (-14.71)	7
a-da-wa-i-ja	adawaija	ɡul	-18.218	ɡul (-18.22); bur (-18.22); bun (-18.22)	8
a-di-ki	adiki	bun	-7.6975	bun (-7.70); ɡor (-7.70); ɡul (-7.70)	5
a-di-ki-t	adikit	bun	-11.202	bun (-11.20); ɡor (-11.20); bur (-11.20)	6
a-di-ki-te	adikite	bun	-14.7065	bun (-14.71); ɡul (-14.71); bur (-14.71)	7
a-di-ki-te-s	adikites	bur	-18.211	bur (-18.21); bun (-18.21); ɡor (-18.21)	8
a-di-ki-te-si	adikitesi	bzu	-21.7123	bzu (-21.71); ɡul (-21.71); ɡor (-21.71)	9
a-di-ki-te-si-r	adikitesir	ɡrdz	-23.0883	ɡrdz (-23.09); brdz (-23.09); ɡul (-25.22)	10
a-di-ki-te-t	adikitet	ɡladʒ	-17.6081	ɡladʒ (-17.61); ɡor (-18.21); bur (-18.21)	8
a-di-ki-te-te	adikitete	brdz	-19.5839	brdz (-19.58); ɡrdz (-19.58); ɡladʒ (-21.11)	9
a-di-ki-te-te-r	adikiteter	brdz	-22.002	brdz (-22.00); ɡrdz (-22.00); bandz (-24.62)	10
a-di-ki-tu	adikitu	ɡul	-14.7065	ɡul (-14.71); bur (-14.71); bun (-14.71)	7
a-di-ki-tu-j	adikituj	bun	-17.1233	bun (-17.12); bur (-17.12); ɡor (-17.12)	8
a-di-ki-tu-ja	adikituja	bun	-20.6302	bun (-20.63); ɡul (-20.63); bur (-20.63)	9
a-di-ki-tu-ja-s	adikitujas	bun	-24.1371	bun (-24.14); ɡor (-24.14); ɡul (-24.14)	10
a-e-a-di	aeadi	zu	-11.2047	zu (-11.20); bzu (-13.24); ɡob (-13.88)	5
a-e-a-di-k	aeadik	ɡor	-11.2074	ɡor (-11.21); bur (-11.21); ɡul (-11.21)	6
a-e-a-di-ki	aeadiki	bur	-14.7119	bur (-14.71); bun (-14.71); ɡul (-14.71)	7
a-e-a-di-ki-t	aeadikit	ɡul	-18.2164	ɡul (-18.22); bur (-18.22); bun (-18.22)	8
a-e-a-di-ki-te	aeadikite	dud	-21.7204	dud (-21.72); ɡul (-21.72); ɡor (-21.72)	9
a-e-a-di-ki-te-t	aeadikitet	ɡladʒ	-24.6221	ɡladʒ (-24.62); bur (-25.23); bun (-25.23)	10
a-i-da-a	aidaa	ɡob	-13.2584	ɡob (-13.26); ɣob (-13.30); ʃub (-13.30)	5
a-i-da-a-u	aidaau	oboba	-12.3526	oboba (-12.35); ɡuɡa (-13.25); biɡa (-15.68)	6
a-i-da-j	aidaj	ʃubl	-10.4837	ʃubl (-10.48); br (-11.21); ɡr (-11.21)	5
a-i-da-ja	aidaja	ʃubl	-13.99	ʃubl (-13.99); br (-14.71); ɡr (-14.71)	6
a-i-da-ja-s	aidajas	ʃubl	-17.4963	ʃubl (-17.50); br (-18.22); ɡr (-18.22)	7
a-i-na-j	ainaj	opl	-13.504	opl (-13.50); oqar (-13.55); mol (-13.95)	5
a-i-na-ja	ainaja	opl	-16.9918	opl (-16.99); oqar (-17.05); jor (-17.44)	6
a-i-na-ja-r	ainajar	asulʿ	-20.283	asulʿ (-20.28); tsolʿ (-20.28); opl (-20.48)	7
a-i-na-ja-re	ainajare	ɡrdz	-21.4236	ɡrdz (-21.42); brdz (-21.42); bandz (-21.60)	8
a-i-na-ja-re-t	ainajaret	ɡrdz	-24.9281	ɡrdz (-24.93); brdz (-24.93); lʿdze (-25.04)	9
a-i-na-ja-re-ta	ainajareta	rdʒw	-27.9927	rdʒw (-27.99); lʿdze (-28.15); brdz (-28.43)	10
a-i-nwa	ainwa	ode	-16.0745	ode (-16.07); usx (-16.07); opl (-16.07)	5
a-i-nwa-z	ainwaz	tow	-17.4502	tow (-17.45); tʼuw (-18.11); ode (-19.34)	6
a-i-nwa-za	ainwaza	tow	-20.9563	tow (-20.96); tʼuw (-21.61); usx (-22.66)	7
a-i-nwa-za-*56	ainwazaΦ	usx	-22.8071	usx (-22.81); tow (-24.46); opl (-24.86)	8
a-i-nwa-za-*56-n	ainwazaΦn	usx	-26.3056	usx (-26.31); opl (-27.82); tow (-27.97)	9
a-i-nwa-za-*56-ni	ainwazaΦni	otxo	-26.3023	otxo (-26.30); usx (-29.80); opl (-30.96)	10
a-i-*301-ti	aiΘti	otxo	-12.8613	otxo (-12.86); pʼu (-13.63); kʼutʼu (-14.12)	5
a-i-*301-ti-j	aiΘtij	qʼor	-14.3146	qʼor (-14.31); kʼum (-14.31); tsʼul (-14.60)	6
a-i-*301-ti-ja	aiΘtija	qʼor	-17.8209	qʼor (-17.82); kʼum (-17.82); tsʼul (-18.11)	7
a-i-*301-ti-ja-s	aiΘtijas	kʼum	-21.3272	kʼum (-21.33); qʼor (-21.33); tsʼon (-21.61)	8
a-i-*301-ti-ja-sa	aiΘtijasa	qʼor	-24.8334	qʼor (-24.83); kʼum (-24.83); tsʼul (-25.12)	9
a-i-*301-ti-ja-sa-s	aiΘtijasas	kʼum	-28.3397	kʼum (-28.34); qʼor (-28.34); tsolʿ (-28.51)	10
a-i-*301-u-j	aiΘuj	oqar	-10.4275	oqar (-10.43); ar (-11.21); il (-11.21)	5
a-i-*301-u-ja	aiΘuja	oqar	-13.9337	oqar (-13.93); ar (-14.72); il (-14.72)	6
a-i-*301-u-t	aiΘut	ode	-13.2311	ode (-13.23); oboba (-15.34); ama (-15.85)	5
a-i-*301-u-ti	aiΘuti	otxo	-16.0669	otxo (-16.07); ode (-16.71); pʼu (-16.91)	6
