linear_a_signs	linear_a_ipa	matched_word	score	top3_matches	ipa_length
a-a-di-k	aadik	aran	-13.2496	aran (-13.25); tan (-13.30); beran (-15.23)	5
a-a-di-ki	aadiki	ai	-14.0198	ai (-14.02); hadiwe (-16.07); tai (-16.09)	6
a-a-di-ki-t	aadikit	ai	-17.5262	ai (-17.53); hadiwe (-19.17); tai (-19.59)	7
a-a-di-ki-te	aadikite	ai	-21.0325	ai (-21.03); hadiwe (-22.38); tai (-23.10)	8
a-a-di-ki-te-s	aadikites	hadiwe	-23.6738	hadiwe (-23.67); ai (-24.54); menzana (-26.59)	9
a-a-di-ki-te-si	aadikitesi	hadiwe	-20.3089	hadiwe (-20.31); ai (-26.96); epiɡrawan (-26.97)	10
a-da-da	adada	ti	-19.3208	ti (-19.32); ai (-19.32); ma (-19.32)	5
a-da-da-u	adadau	ti	-22.6343	ti (-22.63); ai (-22.63); ma (-22.63)	6
a-da-da-u-t	adadaut	ti	-25.9758	ti (-25.98); ai (-25.98); ma (-25.98)	7
a-da-da-u-ti	adadauti	ai	-25.8371	ai (-25.84); apa (-25.85); epi (-25.85)	8
a-da-da-u-ti-n	adadautin	ai	-29.2391	ai (-29.24); epi (-29.24); apa (-29.24)	9
a-da-da-u-ti-nu	adadautinu	teuta	-32.1611	teuta (-32.16); epi (-32.65); apa (-32.65)	10
a-da-u-t	adaut	ti	-19.3208	ti (-19.32); ai (-19.32); ma (-19.32)	5
a-da-u-ti	adauti	ai	-19.074	ai (-19.07); apa (-19.15); epi (-19.15)	6
a-da-u-ti-n	adautin	ai	-22.4476	ai (-22.45); epi (-22.51); apa (-22.51)	7
a-da-u-ti-nu	adautinu	teuta	-25.4532	teuta (-25.45); ai (-25.84); epi (-25.88)	8
a-da-u-ti-nu-i	adautinui	ai	-24.5388	ai (-24.54); teuta (-25.45); tʰautori (-26.18)	9
a-da-u-ti-nu-i-n	adautinuin	ai	-28.0451	ai (-28.05); teuta (-28.91); tʰautori (-29.65)	10
a-da-wa	adawa	toi	-18.8406	toi (-18.84); kos (-18.84); ti (-19.32)	5
a-da-wa-i	adawai	toi	-16.1101	toi (-16.11); ai (-19.07); apa (-19.15)	6
a-da-wa-i-j	adawaij	toi	-19.6173	toi (-19.62); ai (-22.45); epi (-22.51)	7
a-da-wa-i-ja	adawaija	toi	-23.1245	toi (-23.12); ai (-25.84); epi (-25.88)	8
a-di-ki	adiki	ai	-10.5135	ai (-10.51); hadiwe (-12.86); tai (-12.87)	5
a-di-ki-t	adikit	ai	-14.0198	ai (-14.02); hadiwe (-15.95); tai (-16.37)	6
a-di-ki-te	adikite	ai	-17.5262	ai (-17.53); hadiwe (-19.16); tai (-19.88)	7
a-di-ki-te-s	adikites	hadiwe	-20.4539	hadiwe (-20.45); ai (-21.03); tai (-23.38)	8
a-di-ki-te-si	adikitesi	hadiwe	-17.0889	hadiwe (-17.09); ai (-23.45); dazimas (-23.63)	9
a-di-ki-te-si-r	adikitesir	hadiwe	-20.596	hadiwe (-20.60); tabara (-25.86); tabaras (-25.91)	10
a-di-ki-te-t	adikitet	ai	-21.0325	ai (-21.03); hadiwe (-22.43); tai (-23.38)	8
a-di-ki-te-te	adikitete	ai	-24.5388	ai (-24.54); hadiwe (-25.75); tai (-26.89)	9
a-di-ki-te-te-r	adikiteter	ai	-28.0451	ai (-28.05); hadiwe (-29.09); aran (-30.14)	10
a-di-ki-tu	adikitu	ai	-17.5262	ai (-17.53); hadiwe (-19.16); tai (-19.88)	7
a-di-ki-tu-j	adikituj	ai	-21.0325	ai (-21.03); hadiwe (-22.43); tai (-23.38)	8
a-di-ki-tu-ja	adikituja	ai	-24.5388	ai (-24.54); hadiwe (-25.75); tai (-26.89)	9
a-di-ki-tu-ja-s	adikitujas	hadiwe	-27.4096	hadiwe (-27.41); ai (-28.05); dazimas (-30.25)	10
a-e-a-di	aeadi	ai	-15.7212	ai (-15.72); apa (-15.83); epi (-15.83)	5
a-e-a-di-k	aeadik	aran	-16.5217	aran (-16.52); tan (-16.59); beran (-18.31)	6
a-e-a-di-ki	aeadiki	ai	-17.5262	ai (-17.53); menzana (-19.13); morθana (-19.19)	7
a-e-a-di-ki-t	aeadikit	ai	-21.0325	ai (-21.03); hadiwe (-22.45); menzana (-22.62)	8
a-e-a-di-ki-te	aeadikite	ai	-24.5388	ai (-24.54); hadiwe (-25.66); menzana (-26.11)	9
a-e-a-di-ki-te-t	aeadikitet	ai	-28.0451	ai (-28.05); hadiwe (-28.94); menzana (-29.61)	10
a-i-da-a	aidaa	ai	-15.7212	ai (-15.72); epi (-15.85); apa (-15.85)	5
a-i-da-a-u	aidaau	ai	-19.074	ai (-19.07); epi (-19.16); apa (-19.16)	6
a-i-da-j	aidaj	ai	-15.7212	ai (-15.72); epi (-15.85); apa (-15.85)	5
a-i-da-ja	aidaja	ai	-19.074	ai (-19.07); epi (-19.16); apa (-19.16)	6
a-i-da-ja-s	aidajas	ai	-22.4476	ai (-22.45); apa (-22.51); epi (-22.51)	7
a-i-na-j	ainaj	teuta	-15.6471	teuta (-15.65); ai (-15.72); epi (-15.85)	5
a-i-na-ja	ainaja	teuta	-18.8541	teuta (-18.85); ai (-19.07); epi (-19.16)	6
a-i-na-ja-r	ainajar	aran	-20.9695	aran (-20.97); tʰautori (-21.89); teuta (-22.13)	7
a-i-na-ja-re	ainajare	aran	-23.7851	aran (-23.79); tʰautori (-24.73); teuta (-25.44)	8
a-i-na-ja-re-t	ainajaret	aran	-26.8781	aran (-26.88); tʰautori (-27.84); teuta (-28.78)	9
a-i-na-ja-re-ta	ainajareta	aran	-30.0864	aran (-30.09); tʰautori (-31.07); teuta (-32.14)	10
a-i-nwa	ainwa	tʰautori	-15.5676	tʰautori (-15.57); teuta (-15.65); ai (-15.72)	5
a-i-nwa-z	ainwaz	tʰautori	-18.6454	tʰautori (-18.65); teuta (-18.85); ai (-19.07)	6
a-i-nwa-za	ainwaza	tʰautori	-21.8386	tʰautori (-21.84); teuta (-22.13); ai (-22.45)	7
a-i-nwa-za-*56	ainwazaΦ	klaohi	-24.3	klaohi (-24.30); apa (-24.31); epi (-24.31)	8
a-i-nwa-za-*56-n	ainwazaΦn	klaohi	-27.1717	klaohi (-27.17); epi (-27.22); apa (-27.22)	9
a-i-nwa-za-*56-ni	ainwazaΦni	klaohi	-24.4434	klaohi (-24.44); apa (-24.54); epi (-24.54)	10
a-i-*301-ti	aiΘti	ai	-10.5135	ai (-10.51); epi (-12.83); apa (-12.83)	5
a-i-*301-ti-j	aiΘtij	ai	-14.0198	ai (-14.02); apa (-16.32); epi (-16.32)	6
a-i-*301-ti-ja	aiΘtija	ai	-17.5262	ai (-17.53); apa (-19.81); epi (-19.81)	7
a-i-*301-ti-ja-s	aiΘtijas	ai	-21.0325	ai (-21.03); apa (-23.30); epi (-23.30)	8
a-i-*301-ti-ja-sa	aiΘtijasa	ai	-24.5388	ai (-24.54); apa (-26.78); epi (-26.78)	9
a-i-*301-ti-ja-sa-s	aiΘtijasas	ai	-28.0451	ai (-28.05); apa (-30.27); epi (-30.27)	10
a-i-*301-u-j	aiΘuj	ai	-15.7212	ai (-15.72); epi (-15.85); apa (-15.85)	5
a-i-*301-u-ja	aiΘuja	ai	-19.074	ai (-19.07); epi (-19.16); apa (-19.16)	6
a-i-*301-u-t	aiΘut	ai	-15.7212	ai (-15.72); epi (-15.85); apa (-15.85)	5
a-i-*301-u-ti	aiΘuti	ai	-14.0198	ai (-14.02); apa (-16.06); epi (-16.06)	6
a-i-*301-u-ti-n	aiΘutin	ai	-17.5262	ai (-17.53); apa (-19.55); epi (-19.55)	7
a-i-*301-u-ti-nu	aiΘutinu	ai	-21.0325	ai (-21.03); epi (-23.05); apa (-23.05)	8
a-i-*301-u-ti-nu-j	aiΘutinuj	ai	-24.5388	ai (-24.54); epi (-26.54); apa (-26.54)	9
a-i-*301-u-ti-nu-ja	aiΘutinuja	ai	-28.0451	ai (-28.05); epi (-30.03); apa (-30.03)	10
a-i-*301-wa	aiΘwa	ai	-15.7212	ai (-15.72); epi (-15.85); apa (-15.85)	5
a-i-*301-wa-e	aiΘwae	ai	-19.074	ai (-19.07); epi (-19.16); apa (-19.16)	6
a-i-*301-wa-e-a	aiΘwaea	ai	-22.4476	ai (-22.45); epi (-22.51); apa (-22.51)	7
a-i-*301-wa-e-a-d	aiΘwaead	ai	-25.8371	ai (-25.84); epi (-25.87); apa (-25.87)	8
a-i-*301-wa-e-a-di	aiΘwaeadi	ai	-24.5388	ai (-24.54); epi (-26.03); apa (-26.03)	9
a-i-*301-wa-e-a-di-k	aiΘwaeadik	aran	-26.7234	aran (-26.72); ai (-28.05); berain (-29.21)	10
a-i-*301-wa-j	aiΘwaj	ai	-19.074	ai (-19.07); epi (-19.16); apa (-19.16)	6
a-i-*301-wa-ja	aiΘwaja	ai	-22.4476	ai (-22.45); epi (-22.51); apa (-22.51)	7
a-i-*301-wa-ja-a	aiΘwajaa	ai	-25.8371	ai (-25.84); epi (-25.87); apa (-25.87)	8
a-i-*301-wa-ja-a-d	aiΘwajaad	ai	-29.2391	ai (-29.24); epi (-29.24); apa (-29.24)	9
a-i-*301-wa-ja-a-di	aiΘwajaadi	ai	-28.0451	ai (-28.05); epi (-29.41); apa (-29.41)	10
a-i-*301-wa-ja-a-j	aiΘwajaaj	ai	-29.2391	ai (-29.24); epi (-29.24); apa (-29.24)	9
