linear_a_signs	linear_a_ipa	matched_word	score	top3_matches	ipa_length
a-a-di-k	aadik	aiva	-10.4026	aiva (-10.40); anija (-12.74); apamaː (-12.99)	5
a-a-di-ki	aadiki	aiva	-13.5025	aiva (-13.50); anija (-15.30); avadaː (-15.35)	6
a-a-di-ki-t	aadikit	aiva	-17.0051	aiva (-17.01); avadaː (-17.76); apamaː (-18.26)	7
a-a-di-ki-te	aadikite	maniʃ	-19.5647	maniʃ (-19.56); maːhiʃ (-19.96); aiva (-20.22)	8
a-a-di-ki-te-s	aadikites	-ika	-22.7713	-ika (-22.77); maguʃa (-22.85); maniʃ (-23.07)	9
a-a-di-ki-te-si	aadikitesi	-ika	-25.5949	-ika (-25.59); maguʃa (-25.67); vaʃana (-26.34)	10
a-da-da	adada	nava	-8.5736	nava (-8.57); aiva (-10.01); tuvama (-10.78)	5
a-da-da-u	adadau	nava	-12.0691	nava (-12.07); aiva (-13.50); naːmaː (-13.79)	6
a-da-da-u-t	adadaut	nava	-15.5646	nava (-15.56); maːnaː (-16.60); naːmaː (-16.60)	7
a-da-da-u-ti	adadauti	nava	-18.3939	nava (-18.39); maːnaː (-19.66); naːmaː (-19.66)	8
a-da-da-u-ti-n	adadautin	nava	-21.494	nava (-21.49); manaha (-22.43); maːnaː (-22.57)	9
a-da-da-u-ti-nu	adadautinu	nava	-24.9974	nava (-25.00); maːnaː (-25.51); naːmaː (-25.51)	10
a-da-u-t	adaut	avadaː	-13.2546	avadaː (-13.25); DH (-13.95); AM (-13.95)	5
a-da-u-ti	adauti	avadaː	-16.1495	avadaː (-16.15); anija (-16.20); naːma (-16.48)	6
a-da-u-ti-n	adautin	avadaː	-18.6136	avadaː (-18.61); anija (-18.93); naːmaː (-19.07)	7
a-da-u-ti-nu	adautinu	avadaː	-21.2542	avadaː (-21.25); maːnaː (-21.51); naːmaː (-21.51)	8
a-da-u-ti-nu-i	adautinui	avadaː	-24.268	avadaː (-24.27); naːmaː (-24.43); maːnaː (-24.43)	9
a-da-u-ti-nu-i-n	adautinuin	avadaː	-27.2187	avadaː (-27.22); naːmaː (-27.23); maːnaː (-27.23)	10
a-da-wa	adawa	anija	-12.9984	anija (-13.00); avadaː (-13.23); nava (-13.53)	5
a-da-wa-i	adawai	avadaː	-15.4986	avadaː (-15.50); anija (-15.67); naːma (-16.13)	6
a-da-wa-i-j	adawaij	avadaː	-18.0458	avadaː (-18.05); anija (-18.55); maːnaː (-18.63)	7
a-da-wa-i-ja	adawaija	avadaː	-20.7856	avadaː (-20.79); naamaa (-21.11); naːmaː (-21.17)	8
a-di-ki	adiki	anija	-12.4829	anija (-12.48); avadaː (-12.53); nava (-13.06)	5
a-di-ki-t	adikit	avadaː	-14.9406	avadaː (-14.94); anija (-15.85); naːmaː (-15.95)	6
a-di-ki-te	adikite	maːhiʃ	-16.4633	maːhiʃ (-16.46); maniʃ (-16.47); vahuʃ (-16.82)	7
a-di-ki-te-s	adikites	maguʃa	-19.3513	maguʃa (-19.35); -ika (-19.66); maːhiʃ (-19.96)	8
a-di-ki-te-si	adikitesi	maguʃa	-22.1721	maguʃa (-22.17); -ika (-22.49); vaʃana (-22.84)	9
a-di-ki-te-si-r	adikitesir	vaʃanaa	-25.1295	vaʃanaa (-25.13); maguʃa (-25.27); vaʃana (-25.41)	10
a-di-ki-te-t	adikitet	maːhiʃ	-19.9658	maːhiʃ (-19.97); maniʃ (-19.97); vahuʃ (-20.32)	8
a-di-ki-te-te	adikitete	maːhiʃ	-21.8318	maːhiʃ (-21.83); nautʃiʃ (-22.13); maniʃ (-22.35)	9
a-di-ki-te-te-r	adikiteter	maguʃa	-24.8855	maguʃa (-24.89); maːhiʃ (-25.34); -ika (-25.41)	10
a-di-ki-tu	adikitu	avadaː	-17.881	avadaː (-17.88); naːmaː (-18.68); maːnaː (-18.68)	7
a-di-ki-tu-j	adikituj	avadaː	-20.9829	avadaː (-20.98); maːnaː (-21.58); naːmaː (-21.58)	8
a-di-ki-tu-ja	adikituja	avadaː	-23.908	avadaː (-23.91); naːmaː (-24.13); maːnaː (-24.13)	9
a-di-ki-tu-ja-s	adikitujas	naamaa	-26.7898	naamaa (-26.79); naːmaː (-26.81); maːnaː (-26.81)	10
a-e-a-di	aeadi	aiva	-10.022	aiva (-10.02); vaʃana (-10.79); asaina (-12.54)	5
a-e-a-di-k	aeadik	aiva	-12.8426	aiva (-12.84); vaʃanaa (-13.29); vaʃana (-13.61)	6
a-e-a-di-ki	aeadiki	vaʃanaa	-15.7301	vaʃanaa (-15.73); aiva (-15.95); vaʃana (-16.71)	7
a-e-a-di-ki-t	aeadikit	vaʃanaa	-19.2255	vaʃanaa (-19.23); aiva (-19.45); vaʃana (-20.21)	8
a-e-a-di-ki-te	aeadikite	vaʃanaa	-22.0519	vaʃanaa (-22.05); aiva (-22.67); maniʃ (-22.68)	9
a-e-a-di-ki-te-t	aeadikitet	vaʃanaa	-25.5504	vaʃanaa (-25.55); aiva (-26.17); maniʃ (-26.19)	10
a-i-da-a	aidaa	aiva	-10.4026	aiva (-10.40); anija (-12.74); apamaː (-12.99)	5
a-i-da-a-u	aidaau	aiva	-13.9033	aiva (-13.90); avadaː (-15.36); apamaː (-15.44)	6
a-i-da-j	aidaj	aiva	-10.4026	aiva (-10.40); anija (-12.74); apamaː (-12.99)	5
a-i-da-ja	aidaja	aiva	-13.5025	aiva (-13.50); anija (-15.30); avadaː (-15.35)	6
a-i-da-ja-s	aidajas	aiva	-16.7175	aiva (-16.72); Hutauθaː (-17.68); avadaː (-17.75)	7
a-i-na-j	ainaj	AM	-13.9506	AM (-13.95); DH (-13.95); aiva (-14.73)	5
a-i-na-ja	ainaja	daθa	-16.6632	daθa (-16.66); aθaga (-16.95); AM (-17.06)	6
a-i-na-ja-r	ainajar	Hutauθaː	-17.6566	Hutauθaː (-17.66); ɡaiθaː (-18.43); aθaga (-19.05)	7
a-i-na-ja-re	ainajare	Maːhiʃ	-20.0281	Maːhiʃ (-20.03); Hutauθaː (-20.10); ɡaiθaː (-20.88)	8
a-i-na-ja-re-t	ainajaret	Hutauθaː	-22.9242	Hutauθaː (-22.92); Maːhiʃ (-23.53); ɡaiθaː (-23.71)	9
a-i-na-ja-re-ta	ainajareta	-ika	-25.9354	-ika (-25.94); Hutauθaː (-26.02); araika (-26.54)	10
a-i-nwa	ainwa	DH	-13.9506	DH (-13.95); AM (-13.95); aita (-15.24)	5
a-i-nwa-z	ainwaz	AM	-17.0572	AM (-17.06); DH (-17.06); aiva (-17.96)	6
a-i-nwa-za	ainwaza	AM	-20.2315	AM (-20.23); DH (-20.23); aita (-20.84)	7
a-i-nwa-za-*56	ainwazaΦ	Daːtah	-22.4666	Daːtah (-22.47); Baːtah (-22.47); Euménēs (-22.59)	8
a-i-nwa-za-*56-n	ainwazaΦn	aita	-22.4325	aita (-22.43); asa (-24.31); Baːtah (-24.48)	9
a-i-nwa-za-*56-ni	ainwazaΦni	aita	-25.2635	aita (-25.26); utaː (-27.10); Baːtah (-27.14)	10
