linear_a_signs	linear_a_ipa	matched_word	score	top3_matches	ipa_length
a-a-di-k	aadik	γίσσα	-13.742	γίσσα (-13.74); γέl̩α (-14.08); †=l̩ (-14.16)	5
a-a-di-ki	aadiki	†=l̩	-13.7946	†=l̩ (-13.79); γίσσα (-15.76); γέl̩α (-16.03)	6
a-a-di-ki-t	aadikit	γέl̩α	-16.5915	γέl̩α (-16.59); †=l̩ (-16.62); ἄl̩α (-17.65)	7
a-a-di-ki-te	aadikite	ml̩n	-18.3722	ml̩n (-18.37); †=n / ɲ (-18.43); γέl̩α (-19.05)	8
a-a-di-ki-te-s	aadikites	ml̩n	-21.8743	ml̩n (-21.87); γέl̩α (-21.88); †=n / ɲ (-21.92)	9
a-a-di-ki-te-si	aadikitesi	γέl̩α	-24.8844	γέl̩α (-24.88); ml̩n (-25.38); †=n / ɲ (-25.40)	10
a-da-da	adada	*mn-	-11.3493	*mn- (-11.35); γίσσα (-13.74); γrds ? (-14.22)	5
a-da-da-u	adadau	†=ð	-13.9464	†=ð (-13.95); *mn- (-14.18); γίσσα (-15.76)	6
a-da-da-u-t	adadaut	βάνðα	-15.5319	βάνðα (-15.53); *mn- (-17.28); †=ð (-17.45)	7
a-da-da-u-ti	adadauti	βάνðα	-18.3542	βάνðα (-18.35); *mn- (-20.50); γίσσα (-20.71)	8
a-da-da-u-ti-n	adadautin	βάνðα	-21.4563	βάνðα (-21.46); γίσσα (-23.44); Κβωðης (-23.57)	9
a-da-da-u-ti-nu	adadautinu	βάνðα	-24.6361	βάνðα (-24.64); γίσσα (-26.28); Κβωðης (-26.41)	10
a-da-u-t	adaut	†=ð	-11.6186	†=ð (-11.62); βάνðα (-12.36); †bið- (-12.81)	5
a-da-u-ti	adauti	†=ð	-15.1215	†=ð (-15.12); βάνðα (-15.15); Κβωðης (-15.57)	6
a-da-u-ti-n	adautin	Κβωðης	-18.0621	Κβωðης (-18.06); γίσσα (-18.13); βάνðα (-18.21)	7
a-da-u-ti-nu	adautinu	†=ð	-20.0908	†=ð (-20.09); γίσσα (-20.71); Κβωðης (-20.90)	8
a-da-u-ti-nu-i	adautinui	βάνðα	-21.3557	βάνðα (-21.36); γίσσα (-23.44); †=ð (-23.60)	9
a-da-u-ti-nu-i-n	adautinuin	βάνðα	-24.1921	βάνðα (-24.19); γίσσα (-26.28); †σωðαρ- (-26.71)	10
a-da-wa	adawa	γίσσα	-13.742	γίσσα (-13.74); *mn- (-14.66); βάνðα (-14.95)	5
a-da-wa-i	adawai	γίσσα	-15.7621	γίσσα (-15.76); βάνðα (-17.40); γrds ? (-17.71)	6
a-da-wa-i-j	adawaij	γίσσα	-18.1288	γίσσα (-18.13); βάνðα (-20.09); aɲ (?) (-20.41)	7
a-da-wa-i-ja	adawaija	γίσσα	-20.7122	γίσσα (-20.71); aɲ (?) (-22.91); βάνðα (-22.92)	8
a-di-ki	adiki	†=l̩	-10.9666	†=l̩ (-10.97); γέl̩α (-13.24); ml̩n (-13.74)	5
a-di-ki-t	adikit	γέl̩α	-13.7654	γέl̩α (-13.77); †=l̩ (-13.79); ἄl̩α (-14.43)	6
a-di-ki-te	adikite	ml̩n	-14.867	ml̩n (-14.87); γέl̩α (-16.22); ἄl̩α (-16.89)	7
a-di-ki-te-s	adikites	ml̩n	-18.3692	ml̩n (-18.37); γέl̩α (-19.05); ἄl̩α (-19.72)	8
a-di-ki-te-si	adikitesi	ml̩n	-21.87	ml̩n (-21.87); γέl̩α (-22.05); ἄl̩α (-22.73)	9
a-di-ki-te-si-r	adikitesir	γέl̩α	-25.1594	γέl̩α (-25.16); ml̩n (-25.37); ἄl̩α (-25.83)	10
a-di-ki-te-t	adikitet	ml̩n	-18.3692	ml̩n (-18.37); γέl̩α (-19.05); ἄl̩α (-19.72)	8
a-di-ki-te-te	adikitete	ml̩n	-20.7898	ml̩n (-20.79); γέl̩α (-22.05); lrTɲ (-22.51)	9
a-di-ki-te-te-r	adikiteter	ml̩n	-24.2951	ml̩n (-24.30); γέl̩α (-25.16); ἄl̩α (-25.83)	10
a-di-ki-tu	adikitu	γέl̩α	-16.2219	γέl̩α (-16.22); ἄl̩α (-16.89); †=l̩ (-16.89)	7
a-di-ki-tu-j	adikituj	βάνðα	-18.3809	βάνðα (-18.38); γέl̩α (-19.05); ἄl̩α (-19.72)	8
a-di-ki-tu-ja	adikituja	βάνðα	-21.2049	βάνðα (-21.20); γέl̩α (-22.05); ἄl̩α (-22.73)	9
a-di-ki-tu-ja-s	adikitujas	βάνðα	-24.3092	βάνðα (-24.31); γέl̩α (-25.16); ἄl̩α (-25.83)	10
a-e-a-di	aeadi	*mn-	-11.3493	*mn- (-11.35); γίσσα (-13.74); γrds ? (-14.22)	5
a-e-a-di-k	aeadik	*mn-	-14.179	*mn- (-14.18); γίσσα (-15.76); γrds ? (-16.37)	6
a-e-a-di-ki	aeadiki	†=l̩	-16.7976	†=l̩ (-16.80); *mn- (-17.28); †ɲmail̩ (-17.61)	7
a-e-a-di-ki-t	aeadikit	γέl̩α	-19.5919	γέl̩α (-19.59); †=l̩ (-19.62); †ɲmail̩ (-20.43)	8
a-e-a-di-ki-te	aeadikite	†=n / ɲ	-20.8326	†=n / ɲ (-20.83); ml̩n (-21.19); γέl̩α (-22.05)	9
a-e-a-di-ki-te-t	aeadikitet	†=n / ɲ	-24.3238	†=n / ɲ (-24.32); ml̩n (-24.69); γέl̩α (-24.88)	10
a-i-da-a	aidaa	γίσσα	-13.742	γίσσα (-13.74); *mn- (-14.39); †da- (-14.94)	5
a-i-da-a-u	aidaau	†=ð	-13.9464	†=ð (-13.95); γίσσα (-15.76); βάνðα (-16.96)	6
a-i-da-j	aidaj	γίσσα	-13.742	γίσσα (-13.74); *mn- (-14.39); †da- (-14.94)	5
a-i-da-ja	aidaja	γίσσα	-15.7621	γίσσα (-15.76); *mn- (-17.40); †=n / ɲ (-17.54)	6
a-i-da-ja-s	aidajas	γίσσα	-18.1288	γίσσα (-18.13); †=n / ɲ (-19.92); γrds ? (-20.51)	7
a-i-na-j	ainaj	γίσσα	-13.742	γίσσα (-13.74); γέl̩α (-15.31); †=k̑ (-15.51)	5
a-i-na-ja	ainaja	γίσσα	-15.7621	γίσσα (-15.76); γέl̩α (-17.87); †=k̑ (-18.34)	6
a-i-na-ja-r	ainajar	γίσσα	-18.1288	γίσσα (-18.13); γέl̩α (-20.59); †σωðαρ- (-21.18)	7
a-i-na-ja-re	ainajare	γίσσα	-20.7122	γίσσα (-20.71); †=n / ɲ (-21.36); *jnem (-22.17)	8
a-i-na-ja-re-t	ainajaret	γίσσα	-23.4428	γίσσα (-23.44); †=n / ɲ (-24.84); *jnem (-25.45)	9
a-i-na-ja-re-ta	ainajareta	γίσσα	-26.2798	γίσσα (-26.28); κόον / κοῖον (-27.97); †=n / ɲ (-28.18)	10
a-i-nwa	ainwa	γίσσα	-13.742	γίσσα (-13.74); γέl̩α (-15.31); †=l̩ (-15.51)	5
a-i-nwa-z	ainwaz	γίσσα	-15.7621	γίσσα (-15.76); †ane (-17.34); *ma (-17.50)	6
a-i-nwa-za	ainwaza	γίσσα	-18.1288	γίσσα (-18.13); *pi- (-20.30); †da- (-20.30)	7
a-i-nwa-za-*56	ainwazaΦ	*ar	-19.8867	*ar (-19.89); γίσσα (-20.71); †=n / ɲ (-21.36)	8
a-i-nwa-za-*56-n	ainwazaΦn	*ur°	-22.7305	*ur° (-22.73); *ar (-23.39); γίσσα (-23.44)	9
a-i-nwa-za-*56-ni	ainwazaΦni	*ur°	-25.5585	*ur° (-25.56); γίσσα (-26.28); *ar (-26.90)	10
a-i-*301-ti	aiΘti	γίσσα	-13.742	γίσσα (-13.74); γέl̩α (-15.31); †=l̩ (-15.51)	5
a-i-*301-ti-j	aiΘtij	γίσσα	-15.7621	γίσσα (-15.76); *wli/jat (-17.84); γέl̩α (-17.87)	6
a-i-*301-ti-ja	aiΘtija	γίσσα	-18.1288	γίσσα (-18.13); γέl̩α (-20.59); *wli/jat (-20.64)	7
a-i-*301-ti-ja-s	aiΘtijas	γίσσα	-20.7122	γίσσα (-20.71); γέl̩α (-23.42); †σωðαρ- (-23.67)	8
a-i-*301-ti-ja-sa	aiΘtijasa	γίσσα	-23.4428	γίσσα (-23.44); *al- (?) (-26.13); †σωðαρ- (-26.30)	9
a-i-*301-ti-ja-sa-s	aiΘtijasas	γίσσα	-26.2798	γίσσα (-26.28); κόον / κοῖον (-27.97); *al- (?) (-28.68)	10
a-i-*301-u-j	aiΘuj	†=ð	-11.6186	†=ð (-11.62); wðwn (-13.28); γίσσα (-13.74)	5
a-i-*301-u-ja	aiΘuja	†=ð	-15.1215	†=ð (-15.12); γίσσα (-15.76); wðwn (-16.37)	6
a-i-*301-u-t	aiΘut	†=ð	-11.6186	†=ð (-11.62); wðwn (-13.28); γίσσα (-13.74)	5
a-i-*301-u-ti	aiΘuti	†=ð	-15.1215	†=ð (-15.12); γίσσα (-15.76); wðwn (-16.37)	6
a-i-*301-u-ti-n	aiΘutin	γίσσα	-18.1288	γίσσα (-18.13); †=ð (-18.62); †σωðαρ- (-19.03)	7
a-i-*301-u-ti-nu	aiΘutinu	†=ð	-20.0908	†=ð (-20.09); γίσσα (-20.71); †σωðαρ- (-21.29)	8
a-i-*301-u-ti-nu-j	aiΘutinuj	γίσσα	-23.4428	γίσσα (-23.44); †=ð (-23.60); †σωðαρ- (-23.91)	9
a-i-*301-u-ti-nu-ja	aiΘutinuja	γίσσα	-26.2798	γίσσα (-26.28); †σωðαρ- (-26.71); †=ð (-27.10)	10
a-i-*301-wa	aiΘwa	γίσσα	-13.742	γίσσα (-13.74); γέl̩α (-15.31); †=k̑ (-15.51)	5
a-i-*301-wa-e	aiΘwae	γίσσα	-15.7621	γίσσα (-15.76); †=n / ɲ (-16.66); wðwn (-16.94)	6
a-i-*301-wa-e-a	aiΘwaea	γίσσα	-18.1288	γίσσα (-18.13); †=n / ɲ (-20.08); wðwn (-20.44)	7
a-i-*301-wa-e-a-d	aiΘwaead	γίσσα	-20.7122	γίσσα (-20.71); †=n / ɲ (-20.75); *kʷrd (-21.92)	8
a-i-*301-wa-e-a-di	aiΘwaeadi	γίσσα	-23.4428	γίσσα (-23.44); *mn- (-23.78); †=n / ɲ (-24.10)	9
a-i-*301-wa-e-a-di-k	aiΘwaeadik	γίσσα	-26.2798	γίσσα (-26.28); *mn- (-26.62); †=n / ɲ (-27.24)	10
a-i-*301-wa-j	aiΘwaj	γίσσα	-15.7621	γίσσα (-15.76); *wli/jat (-17.84); γέl̩α (-17.87)	6
a-i-*301-wa-ja	aiΘwaja	γίσσα	-18.1288	γίσσα (-18.13); γέl̩α (-20.59); *wli/jat (-20.64)	7
a-i-*301-wa-ja-a	aiΘwajaa	γίσσα	-20.7122	γίσσα (-20.71); γέl̩α (-23.42); †σωðαρ- (-23.67)	8
a-i-*301-wa-ja-a-d	aiΘwajaad	γίσσα	-23.4428	γίσσα (-23.44); †=n / ɲ (-23.98); *jnem (-25.45)	9
a-i-*301-wa-ja-a-di	aiΘwajaadi	γίσσα	-26.2798	γίσσα (-26.28); †=n / ɲ (-27.47); κόον / κοῖον (-27.97)	10
a-i-*301-wa-ja-a-j	aiΘwajaaj	γίσσα	-23.4428	γίσσα (-23.44); *al- (?) (-26.13); *wli/jat (-26.15)	9
a-i-*301-wa-ja-a-ja	aiΘwajaaja	γίσσα	-26.2798	γίσσα (-26.28); κόον / κοῖον (-27.97); *al- (?) (-28.68)	10
a-i-*301-wa-ja-j	aiΘwajaj	γίσσα	-20.7122	γίσσα (-20.71); *wli/jat (-23.00); γέl̩α (-23.42)	8
a-i-*301-wa-ja-ja	aiΘwajaja	γίσσα	-23.4428	γίσσα (-23.44); *wli/jat (-25.97); *al- (?) (-26.13)	9
a-i-*301-wa-ja-ja-a	aiΘwajajaa	γίσσα	-26.2798	γίσσα (-26.28); κόον / κοῖον (-27.97); *al- (?) (-28.68)	10
a-i-*301-wa-ja-ja-d	aiΘwajajad	γίσσα	-26.2798	γίσσα (-26.28); †=n / ɲ (-26.73); κόον / κοῖον (-27.97)	10
a-i-*301-wa-ja-ja-i	aiΘwajajai	γίσσα	-26.2798	γίσσα (-26.28); κόον / κοῖον (-27.97); *al- (?) (-28.68)	10
a-i-*301-wa-ja-ja-j	aiΘwajajaj	γίσσα	-26.2798	γίσσα (-26.28); κόον / κοῖον (-27.97); *al- (?) (-28.68)	10
a-i-*301-wa-ja-ja-s	aiΘwajajas	γίσσα	-26.2798	γίσσα (-26.28); κόον / κοῖον (-27.97); *al- (?) (-28.68)	10
a-i-*301-wa-ja-s	aiΘwajas	γίσσα	-20.7122	γίσσα (-20.71); γέl̩α (-23.42); †σωðαρ- (-23.67)	8
a-i-*301-wa-ja-se	aiΘwajase	γίσσα	-23.4428	γίσσα (-23.44); †=n / ɲ (-23.98); *jnem (-25.45)	9
a-i-*301-wa-ja-se-k	aiΘwajasek	γίσσα	-26.2798	γίσσα (-26.28); pjdl (-27.31); †=n / ɲ (-27.47)	10
a-i-*301-wa-ja-t	aiΘwajat	γίσσα	-20.7122	γίσσα (-20.71); γέl̩α (-23.42); †σωðαρ- (-23.67)	8
a-i-*301-wa-ja-tu	aiΘwajatu	γίσσα	-23.4428	γίσσα (-23.44); †=ð (-23.45); *al- (?) (-26.13)	9
a-i-*301-wa-ja-tu-r	aiΘwajatur	γίσσα	-26.2798	γίσσα (-26.28); †=ð (-26.96); κόον / κοῖον (-27.97)	10
