linear_a_signs	linear_a_ipa	matched_word	score	top3_matches	ipa_length
a-a-di-k	aadik	mɲn-	-14.8637	mɲn- (-14.86); nun͂- (-14.97); =mẽ (-15.03)	5
a-a-di-ki	aadiki	nun͂-	-17.3363	nun͂- (-17.34); mɲn- (-17.84); is- (-18.16)	6
a-a-di-ki-t	aadikit	=mẽ	-16.2027	=mẽ (-16.20); mẽ (-17.54); ne (-17.54)	7
a-a-di-ki-te	aadikite	nei	-17.5402	nei (-17.54); γarãi (-18.80); Piɡrẽi (-19.22)	8
a-a-di-ki-te-s	aadikites	nei	-21.0474	nei (-21.05); γarãi (-22.31); Piɡrẽi (-22.73)	9
a-a-di-ki-te-si	aadikitesi	nei	-24.5546	nei (-24.55); γarãi (-25.82); m̃me/i- (-25.89)	10
a-da-da	adada	mɲn-	-12.4981	mɲn- (-12.50); m̃ma (-12.57); m̃mẽ (-12.57)	5
a-da-da-u	adadau	nun͂-	-15.2206	nun͂- (-15.22); mɲn- (-15.34); m̃ma (-15.65)	6
a-da-da-u-t	adadaut	m̃ma	-13.3556	m̃ma (-13.36); m̃mẽ (-13.37); Pssure (-15.20)	7
a-da-da-u-ti	adadauti	m̃ma	-16.8625	m̃ma (-16.86); m̃mẽ (-16.88); Pssure (-18.70)	8
a-da-da-u-ti-n	adadautin	m̃ma	-20.3694	m̃ma (-20.37); m̃mẽ (-20.38); m̃me/i- (-21.14)	9
a-da-da-u-ti-nu	adadautinu	m̃me/i-	-23.7579	m̃me/i- (-23.76); m̃ma (-23.88); m̃mẽ (-23.89)	10
a-da-u-t	adaut	=mẽ	-9.8726	=mẽ (-9.87); me (-10.53); se (-10.53)	5
a-da-u-ti	adauti	=mẽ	-13.3797	=mẽ (-13.38); me (-14.04); ne (-14.04)	6
a-da-u-ti-n	adautin	=mẽ	-16.8867	=mẽ (-16.89); me (-17.54); mẽ (-17.54)	7
a-da-u-ti-nu	adautinu	s(ije)-	-20.3182	s(ije)- (-20.32); =mẽ (-20.39); mara- (-20.95)	8
a-da-u-ti-nu-i	adautinui	s(ije)-	-23.1468	s(ije)- (-23.15); =mẽ (-23.90); mara- (-24.08)	9
a-da-u-ti-nu-i-n	adautinuin	s(ije)-	-26.1487	s(ije)- (-26.15); ma-(ti) (-26.73); mara- (-27.29)	10
a-da-wa	adawa	Isɲta-	-12.5019	Isɲta- (-12.50); mɲn- (-12.52); mltt- (-12.57)	5
a-da-wa-i	adawai	Isɲta-	-14.9655	Isɲta- (-14.97); mɲn- (-15.27); mltt- (-15.39)	6
a-da-wa-i-j	adawaij	Isɲta-	-17.793	Isɲta- (-17.79); mɲn- (-18.23); mltt- (-18.48)	7
a-da-wa-i-ja	adawaija	Isɲta-	-20.792	Isɲta- (-20.79); mɲn- (-21.31); sɲne- (-21.52)	8
a-di-ki	adiki	nun͂-	-14.1858	nun͂- (-14.19); mɲn- (-14.62); mu- (-14.76)	5
a-di-ki-t	adikit	=mẽ	-13.3748	=mẽ (-13.37); mẽ (-14.03); se (-14.03)	6
a-di-ki-te	adikite	nei	-14.033	nei (-14.03); γarãi (-16.11); trei (-16.77)	7
a-di-ki-te-s	adikites	nei	-17.5402	nei (-17.54); γarãi (-19.61); m̃me/i- (-19.71)	8
a-di-ki-te-si	adikitesi	nei	-21.0474	nei (-21.05); m̃me/i- (-22.52); s(ije)- (-22.91)	9
a-di-ki-te-si-r	adikitesir	nei	-24.5545	nei (-24.55); s(ije)- (-25.58); m̃me/i- (-25.59)	10
a-di-ki-te-t	adikitet	nei	-17.5393	nei (-17.54); mmaite (-19.09); Ssaxa (-19.48)	8
a-di-ki-te-te	adikitete	nei	-19.9469	nei (-19.95); γarãi (-21.06); Piɡrẽi (-21.65)	9
a-di-ki-te-te-r	adikiteter	m̃me/i-	-23.0102	m̃me/i- (-23.01); nei (-23.45); m̃mai(je)- (-23.65)	10
a-di-ki-tu	adikitu	=mẽ	-16.8819	=mẽ (-16.88); mẽ (-17.54); me (-17.54)	7
a-di-ki-tu-j	adikituj	=mẽ	-20.3889	=mẽ (-20.39); s(ije)- (-20.67); se (-21.05)	8
a-di-ki-tu-ja	adikituja	s(ije)-	-23.1344	s(ije)- (-23.13); =mẽ (-23.90); Isɲta- (-24.19)	9
a-di-ki-tu-ja-s	adikitujas	s(ije)-	-25.9647	s(ije)- (-25.96); =mẽ (-27.40); Isɲta- (-27.41)	10
a-e-a-di	aeadi	is-	-9.8638	is- (-9.86); ijas- (-12.63); tis- (-12.63)	5
a-e-a-di-k	aeadik	is-	-12.6882	is- (-12.69); ijas- (-15.45); tis- (-15.46)	6
a-e-a-di-ki	aeadiki	is-	-15.7938	is- (-15.79); ijas- (-18.56); tis- (-18.56)	7
a-e-a-di-ki-t	aeadikit	is-	-19.0154	is- (-19.02); =mẽ (-19.31); itsre (-20.18)	8
a-e-a-di-ki-te	aeadikite	Piɡrẽi	-19.532	Piɡrẽi (-19.53); nei (-21.05); γarãi (-21.74)	9
a-e-a-di-ki-te-t	aeadikitet	Piɡrẽi	-23.0382	Piɡrẽi (-23.04); nei (-24.55); inaxe/i- (-25.04)	10
a-i-da-a	aidaa	mɲn-	-14.8637	mɲn- (-14.86); nun͂- (-14.97); =mẽ (-15.03)	5
a-i-da-a-u	aidaau	nun͂-	-17.3363	nun͂- (-17.34); mɲn- (-17.84); is- (-18.16)	6
a-i-da-j	aidaj	mɲn-	-14.8637	mɲn- (-14.86); nun͂- (-14.97); =mẽ (-15.03)	5
a-i-da-ja	aidaja	nun͂-	-17.3363	nun͂- (-17.34); mɲn- (-17.84); is- (-18.16)	6
a-i-da-ja-s	aidajas	nun͂-	-20.0748	nun͂- (-20.07); mɲn- (-20.94); si- (-21.32)	7
a-i-na-j	ainaj	=be	-17.6191	=be (-17.62); =ti (-17.62); =pe (-17.62)	5
a-i-na-ja	ainaja	=be	-20.7824	=be (-20.78); =mẽ (-20.78); =de (-20.78)	6
a-i-na-ja-r	ainajar	=pe	-23.9944	=pe (-23.99); =be (-23.99); =ti (-23.99)	7
a-i-na-ja-re	ainajare	=ti	-23.9332	=ti (-23.93); Puwẽi (-25.66); γarãi (-25.66)	8
a-i-na-ja-re-t	ainajaret	(†)pẽnẽ	-26.3672	(†)pẽnẽ (-26.37); =we / =uwe (-26.73); Pubiele (-26.77)	9
a-i-na-ja-re-ta	ainajareta	(†)pẽnẽ	-29.6768	(†)pẽnẽ (-29.68); Pubiele (-29.86); ux(i)- (-29.88)	10
a-i-nwa	ainwa	Jaɲ	-14.8093	Jaɲ (-14.81); =ti (-15.03); =pe (-15.03)	5
a-i-nwa-z	ainwaz	qal	-16.723	qal (-16.72); kʷla- (-16.77); kʷla (-16.78)	6
a-i-nwa-za	ainwaza	kʷla-	-18.9453	kʷla- (-18.95); xla- (-19.58); kʷla (-19.60)	7
