Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-išta	-iʃta	ISTA	wiktionary	-	-
-təma	-təma	TEMA	wiktionary	-	-
ad-	ad-	AD	wiktionary	-	-
agəniiā	aɡəniiaː	AGENIIA	wiktionary	-	-
ahma	ahma	AHMA	wiktionary	we	-
ahura	ahura	AHURA	wiktionary	-	-
ahuramazdā	ahuramazdaː	AHURAMASDA	wiktionary	-	-
aibī	aibiː	AIBI	wiktionary	-	-
aiiah	aiiah	AIIAH	wiktionary	-	-
aiiaŋh	aiiaŋh	AIIANH	wiktionary	-	-
aiiə̄m	aiiə̄m	AIIEM	wiktionary	this	-
airiia	airiia	AIRIIA	wiktionary	linguistic_autonym_,_i	-
aiβitō	aiβitoː	AIBITO	wiktionary	-	-
aka	aka	AKA	wiktionary	bad	-
amavat	amavat	AMABAT	wiktionary	strong_,_powerful_,_forceful	-
anairiia	anairiia	ANAIRIIA	wiktionary	-	-
anatomy	anatomj	ANATOMY	wiktionary	penis	-
aniia	aniia	ANIIA	wiktionary	other	-
aota	aota	AOTA	wiktionary	cold	-
aoθra	aoθra	AOTRA	wiktionary	-	-
ap	ap	AP	wiktionary	water	-
asarə	asarə	ASARE	wiktionary	day	-
asitis	asitis	ASITIS	wiktionary	swiftest_,_fastest_,_quickest_c	-
asišta	asiʃta	ASISTA	wiktionary	swiftest_,_fastest_,_quickest_c	-
aspa	aspa	ASPA	wiktionary	-	-
aspastan	aspastan	ASPASTAN	wiktionary	m_stable	-
ast	ast	AST	wiktionary	bone	-
ast-	ast-	AST	wiktionary	n_bone	-
astar	astar	ASTAR	wiktionary	-	-
astī	astiː	ASTI	wiktionary	-	-
asənga	asənɡa	ASENGA	wiktionary	-	-
asə̄nō	asə̄noː	ASENO	wiktionary	-	-
at̰	at̰	AT	wiktionary	-	-
auua	auua	AUUA	wiktionary	that	-
azə̄m	azə̄m	ASEM	wiktionary	i	-
aēm	aeːm	AEM	wiktionary	this	-
aēnah	aeːnah	AENAH	wiktionary	-	-
aētī	aeːtiː	AETI	wiktionary	to_go	-
aēuua	aeːuua	AEUUA	wiktionary	one	-
aēšəma	aeːʃəma	AESEMA	wiktionary	spe	-
aŋra	aŋra	ANRA	wiktionary	bad	-
aši	aʃi	ASI	wiktionary	eye	-
