Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
à-	à-		wiktionary_cat	-	-
mbá	mbá	MB	wiktionary_cat	-	-
ìbá	ìbá	B	wiktionary_cat	-	-
bà-	bà-	B	wiktionary_cat	-	-
bá-	bá-	B	wiktionary_cat	-	-
-báa	-báa	BA	wiktionary_cat	-	-
báá-	báá-	B	wiktionary_cat	-	-
bààbá	bààbá	BB	wiktionary_cat	-	-
-bába	-bába	BBA	wiktionary_cat	-	-
-bàda	-bàda	BDA	wiktionary_cat	-	-
-báda	-báda	BDA	wiktionary_cat	-	-
dʊ̀bàdà	dʊ̀bàdà	DUBD	wiktionary_cat	-	-
ìbádà	ìbádà	BD	wiktionary_cat	-	-
-bàdɪ́	-bàdɪ́	BDI	wiktionary_cat	-	-
dʊ̀bàdù	dʊ̀bàdù	DUBD	wiktionary_cat	-	-
mʊ̀bàgàdà	mʊ̀bàɡàdà	MUBGD	wiktionary_cat	-	-
kɪ̀bàndà	kɪ̀bàndà	KIBND	wiktionary_cat	-	-
kɪ̀bánjá	kɪ̀báɲdʒá	KIBNDS	wiktionary_cat	-	-
mbèbà	mbèbà	MBB	wiktionary_cat	-	-
ìbèdé	ìbèdé	BD	wiktionary_cat	-	-
-bedɪnga	-bedɪŋɡa	BEDINGA	wiktionary_cat	-	-
ìbéèdè	ìbéèdè	BD	wiktionary_cat	-	-
-béeka	-béeka	BEKA	wiktionary_cat	-	-
-béeta	-béeta	BETA	wiktionary_cat	-	-
mbégʊ́	mbéɡʊ́	MBGU	wiktionary_cat	-	-
bì-	bì-	B	wiktionary_cat	-	-
bí-	bí-	B	wiktionary_cat	-	-
bíá-	bíá-	B	wiktionary_cat	-	-
-bíada	-bíada	BADA	wiktionary_cat	-	-
mʊ̀bíádá	mʊ̀bíádá	MUBD	wiktionary_cat	-	-
ìbídà	ìbídà	BD	wiktionary_cat	-	-
-bímba	-bímba	BMBA	wiktionary_cat	-	-
-bína	-bína	BNA	wiktionary_cat	-	-
-bɪ́ada	-bɪ́ada	BIADA	wiktionary_cat	-	-
-bɪ́da	-bɪ́da	BIDA	wiktionary_cat	-	-
mʊ̀bɪ́dɪ́	mʊ̀bɪ́dɪ́	MUBIDI	wiktionary_cat	-	-
mbɪ̀gá	mbɪ̀ɡá	MBIG	wiktionary_cat	-	-
-bɪ́ɪ̀	-bɪ́ɪ̀	BII	wiktionary_cat	-	-
-bɪ́ɪ̀pa	-bɪ́ɪ̀pa	BIIPA	wiktionary_cat	-	-
-bɪ́ka	-bɪ́ka	BIKA	wiktionary_cat	-	-
bɪ̀ndì	bɪ̀ndì	BIND	wiktionary_cat	-	-
-bòda	-bòda	BDA	wiktionary_cat	-	-
dʊ̀bódó	dʊ̀bódó	DUBD	wiktionary_cat	-	-
mbògà	mbòɡà	MBG	wiktionary_cat	-	-
mbògó	mbòɡó	MBG	wiktionary_cat	-	-
kʊ̀bókò	kʊ̀bókò	KUBK	wiktionary_cat	-	-
mʊ̀bòmbó	mʊ̀bòmbó	MUBMB	wiktionary_cat	-	-
-bóna	-bóna	BNA	wiktionary_cat	-	-
-bónɪka	-bónɪka	BNIKA	wiktionary_cat	-	-
bú	bú	B	wiktionary_cat	-	-
mbúdà	mbúdà	MBD	wiktionary_cat	-	-
-bùmba	-bùmba	BMBA	wiktionary_cat	-	-
-búna	-búna	BNA	wiktionary_cat	-	-
mbʊ́	mbʊ́	MBU	wiktionary_cat	-	-
bʊ̀-	bʊ̀-	BU	wiktionary_cat	-	-
bʊ́-	bʊ́-	BU	wiktionary_cat	-	-
mbʊ́à	mbʊ́à	MBU	wiktionary_cat	-	-
bʊ́á-	bʊ́á-	BU	wiktionary_cat	-	-
mbʊ́dì	mbʊ́dì	MBUD	wiktionary_cat	-	-
ìbʊ̀è	ìbʊ̀è	BU	wiktionary_cat	-	-
mʊ̀bʊ̀jʊ́	mʊ̀bʊ̀dʒʊ́	MUBUDSU	wiktionary_cat	-	-
-bʊ́ka	-bʊ́ka	BUKA	wiktionary_cat	-	-
mʊ̀bʊ́kɪ̀	mʊ̀bʊ́kɪ̀	MUBUKI	wiktionary_cat	-	-
-bʊ́mba	-bʊ́mba	BUMBA	wiktionary_cat	-	-
ìbʊ́mbà	ìbʊ́mbà	BUMB	wiktionary_cat	-	-
bʊ́ndá	bʊ́ndá	BUND	wiktionary_cat	-	-
kɪ̀bʊ́nʊ̀	kɪ̀bʊ́nʊ̀	KIBUNU	wiktionary_cat	-	-
-bʊ́ʊdia	-bʊ́ʊdia	BUUDIA	wiktionary_cat	-	-
bʊ̀cábɪ́	bʊ̀tʃábɪ́	BUTSBI	wiktionary_cat	-	-
mʊ̀cábɪ́	mʊ̀tʃábɪ́	MUTSBI	wiktionary_cat	-	-
ìcádá	ìtʃádá	TSD	wiktionary_cat	-	-
mʊ̀cáijà	mʊ̀tʃáidʒà	MUTSIDS	wiktionary_cat	-	-
ìcàká	ìtʃàká	TSK	wiktionary_cat	-	-
mʊ̀cákú	mʊ̀tʃákú	MUTSK	wiktionary_cat	-	-
-càmba	-tʃàmba	TSMBA	wiktionary_cat	-	-
