Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
aa	aa	AA	wiktionary	good	-
aain	aain	AAIN	wiktionary	house	-
aal	aal	AAL	wiktionary	city, town	-
aapih	aapih	AAPIH	wiktionary	plow	-
abba	abba	ABBA	wiktionary	grease, fat	-
abbara	abbara	ABBARA	wiktionary	heavy	-
abebe	abebe	ABEBE	wiktionary	food	-
ahhuum	ahhuum	AHHUUM	wiktionary	comb	-
ahpi	ahpi	AHPI	wiktionary	tribe, clan	-
akada	akada	AKADA	wiktionary	always	-
akka	akka	AKKA	wiktionary	that	-
akpi	akpi	AKPI	wiktionary	holy, sacred	-
am	am	AM	wiktionary	now	-
amma	amma	AMMA	wiktionary	mother	-
amni	amni	AMNI	wiktionary	mountain, hill	-
anaku	anaku	ANAKU	wiktionary	tin, tinplate	-
anka	anka	ANKA	wiktionary	when	-
annain	annain	ANNAIN	wiktionary	fermented drink	-
anzi	antsi	ANTSI	wiktionary	salt	-
appa	appa	APPA	wiktionary	what	-
appi	appi	APPI	wiktionary	fat (noun)	-
appuqana	appuqana	APPUKANA	wiktionary	first	-
ari	ari	ARI	wiktionary	roof	-
atin	atin	ATIN	wiktionary	inside, in	-
atta	atta	ATTA	wiktionary	father	-
atti	atti	ATTI	wiktionary	shovel	-
ayak	ayak	AUAK	wiktionary	and	-
azzaqa	atstsaqa	ATSTSAKA	wiktionary	large, big	-
bakkah	bakkah	BAKKAH	wiktionary	-	-
bali	bali	BALI	wiktionary	man	-
balina	balina	BALINA	wiktionary	male	-
bau	bau	BAU	wiktionary	road	-
bazizi	batsitsi	BATSITSI	wiktionary	eagle	-
bela	bela	BELA	wiktionary	put	-
bera	bera	BERA	wiktionary	read	-
buni	buni	BUNI	wiktionary	heart	-
da	da	DA	wiktionary	river	-
dabantina	dabantina	DABANTINA	wiktionary	blue	-
dabarrium	dabarrium	DABARRIUM	wiktionary	felt	-
dala	dala	DALA	wiktionary	sacrifice, offering	-
dalari	dalari	DALARI	wiktionary	time	-
du ka	du ka	DUKA	wiktionary	-	-
dudu	dudu	DUDU	wiktionary	foal, colt	-
duliibbe	duliibbe	DULIIBBE	wiktionary	bore	-
duma	duma	DUMA	wiktionary	wolf	-
dumaš	dumaʃ	DUMAS	wiktionary	-	-
dunih	dunih	DUNIH	wiktionary	give	-
duraš	duraʃ	DURAS	wiktionary	cave	-
dušarama	duʃarama	DUSARAMA	wiktionary	deep	-
elma	elma	ELMA	wiktionary	to think	-
elpi	elpi	ELPI	wiktionary	mountain	-
elti	elti	ELTI	wiktionary	eye	-
eri	eri	ERI	wiktionary	uncle	-
erientum	erientum	ERIENTUM	wiktionary	brick	-
erini	erini	ERINI	wiktionary	copper, bronze	-
eul	eul	EUL	wiktionary	meal, flour	-
gini	ɡini	GINI	wiktionary	witness	-
giri	ɡiri	GIRI	wiktionary	swear	-
giutmašte	ɡiutmaʃte	GIUTMASTE	wiktionary	blanket	-
gugu	ɡuɡu	GUGU	wiktionary	peace	-
hal	hal	HAL	wiktionary	country	-
halat	halat	HALAT	wiktionary	clay	-
halkini	halkini	HALKINI	wiktionary	dog	-
halla	halla	HALLA	wiktionary	field	-
hallaki	hallaki	HALLAKI	wiktionary	-	-
halpi	halpi	HALPI	wiktionary	die, dead	-
halpiya	halpiya	HALPIUA	wiktionary	strike	-
haltamti	haltamti	HALTAMTI	wiktionary	-	-
halteme	halteme	HALTEME	wiktionary	crop, harvest	-
halti	halti	HALTI	wiktionary	doorpost, jamb	-
hamiti	hamiti	HAMITI	wiktionary	faithful	-
hani	hani	HANI	wiktionary	love	-
hap	hap	HAP	wiktionary	to hear	-
har	har	HAR	wiktionary	stone, rock	-
hargi	harɡi	HARGI	wiktionary	iron	-
harikki	harikki	HARIKKI	wiktionary	few	-
hasu	hasu	HASU	wiktionary	ointment	-
haten	haten	HATEN	wiktionary	skin, hide	-
hatin	hatin	HATIN	wiktionary	skin	-
hašair	haʃair	HASAIR	wiktionary	shoe	-
hidu	hidu	HIDU	wiktionary	sheep	-
hindu	hindu	HINDU	wiktionary	India	-
hippur	hippur	HIPPUR	wiktionary	goose	-
hisa	hisa	HISA	wiktionary	praise	-
hit	hit	HIT	wiktionary	army	-
hiš	hiʃ	HIS	wiktionary	name	-
huel	huel	HUEL	wiktionary	door, gate	-
huelip	huelip	HUELIP	wiktionary	coat	-
huh	huh	HUH	wiktionary	full	-
huhqat	huhqat	HUHKAT	wiktionary	wood	-
hulapna	hulapna	HULAPNA	wiktionary	green	-
hun	hun	HUN	wiktionary	light	-
hunir	hunir	HUNIR	wiktionary	lamp, torch	-
hupie	hupie	HUPIE	wiktionary	nest	-
hurpi	hurpi	HURPI	wiktionary	fruit	-
husa	husa	HUSA	wiktionary	forest	-
huta	huta	HUTA	wiktionary	do, make	-
ibbak	ibbak	IBBAK	wiktionary	strong, mighty, powerful	-
igi	iɡi	IGI	wiktionary	brother	-
ingi	inɡi	INGI	wiktionary	no, negative	-
innain	innain	INNAIN	wiktionary	sap	-
ipiš	ipiʃ	IPIS	wiktionary	ax	-
ipši	ipʃi	IPSI	wiktionary	to fear	-
irpi	irpi	IRPI	wiktionary	round	-
irti	irti	IRTI	wiktionary	wife	-
iršeikki	irʃeikki	IRSEIKKI	wiktionary	many	-
iza	itsa	ITSA	wiktionary	cousin	-
izziš	itstsiʃ	ITSTSIS	wiktionary	come	-
išti	iʃti	ISTI	wiktionary	meat	-
išturraka	iʃturraka	ISTURRAKA	wiktionary	correct	-
kam	kam	KAM	wiktionary	sea	-
kappaš	kappaʃ	KAPPAS	wiktionary	-	-
kari	kari	KARI	wiktionary	lamb	-
karik	karik	KARIK	wiktionary	helmet	-
karsuda	karsuda	KARSUDA	wiktionary	-	-
kassa	kassa	KASSA	wiktionary	forge	-
kassu	kassu	KASSU	wiktionary	horn	-
kaszira	kastsira	KASTSIRA	wiktionary	smith, blacksmith	-
kate	kate	KATE	wiktionary	place	-
ki	ki	KI	wiktionary	one	-
kidur	kidur	KIDUR	wiktionary	outside	-
kiik	kiik	KIIK	wiktionary	sky	-
kik	kik	KIK	wiktionary	heaven	-
kipšu	kipʃu	KIPSU	wiktionary	goat	-
