Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ab	ab	AB	wiktionary_cat	-	-
aba-	aba-	ABA	wiktionary_cat	-	-
abagebaną	abaɡebanã	ABAGEBANA	wiktionary_cat	-	-
abahandijaz	abahandijaz	ABAHANDIYAS	wiktionary_cat	-	-
abalagjaną	abalaɡjanã	ABALAGYANA	wiktionary_cat	-	-
abanemaną	abanemanã	ABANEMANA	wiktionary_cat	-	-
abisōną	abisoːnã	ABISONA	wiktionary_cat	-	-
abjǭ	abjǭ	ABY	wiktionary_cat	-	-
abnijaną	abnijanã	ABNIYANA	wiktionary_cat	-	-
abniją	abnijã	ABNIYA	wiktionary_cat	-	-
abô	abô	AB	wiktionary_cat	-	-
abraz	abraz	ABRAS	wiktionary_cat	-	-
abuhaz	abuhaz	ABUHAS	wiktionary_cat	-	-
abundiz	abundiz	ABUNDIS	wiktionary_cat	-	-
adalaz	adalaz	ADALAS	wiktionary_cat	-	-
adisô	adisô	ADIS	wiktionary_cat	-	-
aferô	aferô	APER	wiktionary_cat	-	-
aferą	aferã	APERA	wiktionary_cat	-	-
aflaz	aflaz	APLAS	wiktionary_cat	-	-
aflōną	afloːnã	APLONA	wiktionary_cat	-	-
aflą	aflã	APLA	wiktionary_cat	-	-
aftai	aftai	APTAI	wiktionary_cat	-	-
aftanē	aftaneː	APTANE	wiktionary_cat	-	-
after	after	APTER	wiktionary_cat	-	-
afteraz	afteraz	APTERAS	wiktionary_cat	-	-
afti	afti	APTI	wiktionary_cat	-	-
aftrą	aftrã	APTRA	wiktionary_cat	-	-
aftumô	aftumô	APTUM	wiktionary_cat	-	-
agalaitijaz	aɡalaitijaz	AGALAITIYAS	wiktionary_cat	-	-
agalaitiją	aɡalaitijã	AGALAITIYA	wiktionary_cat	-	-
agalaitį̄	aɡalaitĩ̄	AGALAITI	wiktionary_cat	-	-
aganą	aɡanã	AGANA	wiktionary_cat	-	-
agaz	aɡaz	AGAS	wiktionary_cat	-	-
Agilaz	Aɡilaz	0GILAS	wiktionary_cat	-	-
Agiþewaz	Aɡiθewaz	0GITEWAS	wiktionary_cat	-	-
agiþō	aɡiθoː	AGITO	wiktionary_cat	-	-
agjō	aɡjoː	AGYO	wiktionary_cat	-	-
agjōną	aɡjoːnã	AGYONA	wiktionary_cat	-	-
agjōstainaz	aɡjoːstainaz	AGYOSTAINAS	wiktionary_cat	-	-
aglaz	aɡlaz	AGLAS	wiktionary_cat	-	-
aglijaną	aɡlijanã	AGLIYANA	wiktionary_cat	-	-
agluz	aɡluz	AGLUS	wiktionary_cat	-	-
agraz	aɡraz	AGRAS	wiktionary_cat	-	-
ahanō	ahanoː	AHANO	wiktionary_cat	-	-
ahaz	ahaz	AHAS	wiktionary_cat	-	-
ahjaną	ahjanã	AHYANA	wiktionary_cat	-	-
ahslō	ahsloː	AHSLO	wiktionary_cat	-	-
ahsō	ahsoː	AHSO	wiktionary_cat	-	-
ahtilōną	ahtiloːnã	AHTILONA	wiktionary_cat	-	-
