Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
bak-	bak	BAK	wiktionary	peg	-
bʰeg-	bʱeɡ	BEG	wiktionary	to break	-
bʰeh₂-	bʱeħ	BEH	wiktionary	to shine	-
bʰel-	bʱel	BEL	wiktionary	to sound	-
bʰergʰ-	bʱerɡʱ	BERG	wiktionary	to safeguard	-
bʰil-	bʱil	BIL	wiktionary	harmonious	-
bʰruHg-	bʱruhɡ	BRUHG	wiktionary	to make use of	-
deh₂p-	deħp	DEHP	wiktionary	to sacrifice	-
deh₂y-	deħj	DEHY	wiktionary	to share	-
dem-	dem	DEM	wiktionary	to build (up)	-
der-	der	DER	wiktionary	to split	-
deyḱ-	dejk	DEYK	wiktionary	to point out	-
dʰelbʰ-	dʱelbʱ	DELB	wiktionary	to dig	-
dʰengʰ-	dʱenɡʱ	DENG	wiktionary	to cover	-
dʰers-	dʱers	DERS	wiktionary	to be bold	-
dʰew-	dʱew	DEW	wiktionary	to die	-
dʰwer-	dʱwer	DWER	wiktionary	door	-
ǵem-	ɡem	GEM	wiktionary	to marry	-
ǵneh₃-	ɡneɣʷ	GNEG	wiktionary	to recognise	-
ǵʰed-	ɡʱed	GED	wiktionary	to defecate	-
ǵʰerH-	ɡʱerh	GERH	wiktionary	bowels	-
ǵʰes-	ɡʱes	GES	wiktionary	hand	-
ǵʰley-	ɡʱlej	GLEY	wiktionary	to shine	-
ǵʰwer-	ɡʱwer	GWER	wiktionary	wild	-
geh₂w-	ɡeħw	GEHW	wiktionary	to rejoice	-
gʰedʰ-	ɡʱedʱ	GED	wiktionary	to join	-
gʰeldʰ-	ɡʱeldʱ	GELD	wiktionary	to repay	-
gʰer-	ɡʱer	GER	wiktionary	to yearn for	-
gʰleh₂dʰ-	ɡʱleħdʱ	GLEHD	wiktionary	bright	-
gʰrendʰ-	ɡʱrendʱ	GREND	wiktionary	beam	-
gʷeg-	ɡʷeɡ	GEG	wiktionary	to shake	-
gʷelbʰ-	ɡʷelbʱ	GELB	wiktionary	the womb	-
gʷem-	ɡʷem	GEM	wiktionary	to come	-
gʷerh₃-	ɡʷerɣʷ	GERG	wiktionary	to swallow	-
gʷey-	ɡʷej	GEY	wiktionary	to win	-
g⁽ʷ⁾ew-	ɡ⁽ʷ⁾ew	GEW	wiktionary	to increase	-
h₁eǵ-	heɡ	HEG	wiktionary	to say	-
h₁egʷʰ-	heɡʷʱ	HEG	wiktionary	to drink	-
h₁el-	hel	HEL	wiktionary	greyish or brownish coloration	-
h₁ep-	hep	HEP	wiktionary	to grab	-
h₁er-	her	HER	wiktionary	to arrive	-
h₁es-	hes	HES	wiktionary	to be	-
h₁eyHw-	hejhw	HEYHW	wiktionary	yew	-
h₁lengʷʰ-	hlenɡʷʱ	HLENG	wiktionary	to move lightly	-
h₁lewdʰ-	hlewdʱ	HLEWD	wiktionary	to grow	-
h₁rebʰ-	hrebʱ	HREB	wiktionary	to cover	-
h₁regʷ-	hreɡʷ	HREG	wiktionary	to be dark	-
h₁reh₁p-	hrehp	HREHP	wiktionary	to take away	-
h₁rem-	hrem	HREM	wiktionary	to rest	-
h₁weh₂-	hweħ	HWEH	wiktionary	to be/become empty<ref name="LIV_addenda"></ref>	-
h₁wers-	hwers	HWERS	wiktionary	to rain	-
h₁yaǵ-	hjaɡ	HYAG	wiktionary	to sacrifice	-
h₂ed-	ħed	HED	wiktionary	to dry	-
h₂eh₁-	ħeh	HEH	wiktionary	to burn	-
h₂eh₃-	ħeɣʷ	HEG	wiktionary	to be hot	-
h₂eHs-	ħehs	HEHS	wiktionary	to be dry	-
h₂elgʷʰ-	ħelɡʷʱ	HELG	wiktionary	to cost	-
h₂ems-	ħems	HEMS	wiktionary	to give birth	-
h₂erǵ-	ħerɡ	HERG	wiktionary	white	-
h₂et-	ħet	HET	wiktionary	grass	-
h₂ger-	ħɡer	HGER	wiktionary	to gather	-
h₂lewgʰ-	ħlewɡʱ	HLEWG	wiktionary	to announce	-
h₂meh₁-	ħmeh	HMEH	wiktionary	to mow	-
h₂neḱ-	ħnek	HNEK	wiktionary	to reach	-
h₂rew-	ħrew	HREW	wiktionary	to shine	-
h₂sewt-	ħsewt	HSEWT	wiktionary	to seethe	-
h₂yew-	ħjew	HYEW	wiktionary	straight	-
h₃erbʰ-	ɣʷerbʱ	GERB	wiktionary	to turn <ref></ref>	-
h₃ew-	ɣʷew	GEW	wiktionary	to put clothes or shoes on	-
h₃merǵ-	ɣʷmerɡ	GMERG	wiktionary	to wipe off	-
h₃nebʰ-	ɣʷnebʱ	GNEB	wiktionary	hub	-
Heh₃l-	heɣʷl	HEGL	wiktionary	to bow	-
Hreh₁dʰ-	hrehdʱ	HREHD	wiktionary	to think	-
Hreth₂-	hretħ	HRETH	wiktionary	to run	-
Hrew-	hrew	HREW	wiktionary	to tear out	-
Hrewp-	hrewp	HREWP	wiktionary	to break	-
ḱeh₂d-	keħd	KEHD	wiktionary	hatred	-
ḱerd-	kerd	KERD	wiktionary	heart	-
ḱes-	kes	KES	wiktionary	to cut	-
ḱewbʰ-	kewbʱ	KEWB	wiktionary	to be or become beautiful	-
ḱey-	kej	KEY	wiktionary	to be lying down	-
ḱh₂d-	kħd	KHD	wiktionary	to fall	-
