Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ad	ad	AD	wiktionary_cat	-	-
ad-	ad-	AD	wiktionary_cat	-	-
adserō	adseroː	ADSERO	wiktionary_cat	-	-
aezneos	aezneos	AESNEOS	wiktionary_cat	-	-
aeznos	aeznos	AESNOS	wiktionary_cat	-	-
agets	aɡets	AGETS	wiktionary_cat	-	-
agjō	aɡjoː	AGYO	wiktionary_cat	-	-
agros	aɡros	AGROS	wiktionary_cat	-	-
agō	aɡoː	AGO	wiktionary_cat	-	-
agʷnos	aɡʷnos	AGNOS	wiktionary_cat	-	-
agʷnīnos	aɡʷniːnos	AGNINOS	wiktionary_cat	-	-
aimelos	aimelos	AIMELOS	wiktionary_cat	-	-
aimos	aimos	AIMOS	wiktionary_cat	-	-
aiss	aiss	AISS	wiktionary_cat	-	-
aitis	aitis	AITIS	wiktionary_cat	-	-
aiwom	aiwom	AIWOM	wiktionary_cat	-	-
aiwotāts	aiwotaːts	AIWOTATS	wiktionary_cat	-	-
akris	akris	AKRIS	wiktionary_cat	-	-
aliteros	aliteros	ALITEROS	wiktionary_cat	-	-
aljos	aljos	ALYOS	wiktionary_cat	-	-
alβos	alβos	ALBOS	wiktionary_cat	-	-
amō	amoː	AMO	wiktionary_cat	-	-
amβi	amβi	AMBI	wiktionary_cat	-	-
ana-	ana-	ANA	wiktionary_cat	-	-
anamos	anamos	ANAMOS	wiktionary_cat	-	-
anats	anats	ANATS	wiktionary_cat	-	-
anti	anti	ANTI	wiktionary_cat	-	-
anɣʷis	anɣʷis	ANGIS	wiktionary_cat	-	-
-āō	-aːoː	AO	wiktionary_cat	-	-
aos	aos	AOS	wiktionary_cat	-	-
apros	apros	APROS	wiktionary_cat	-	-
aratrom	aratrom	ARATROM	wiktionary_cat	-	-
arawos	arawos	ARAWOS	wiktionary_cat	-	-
araō	araoː	ARAO	wiktionary_cat	-	-
argentom	arɡentom	ARGENTOM	wiktionary_cat	-	-
arjēts	arjeːts	ARYETS	wiktionary_cat	-	-
arkelātos	arkelaːtos	ARKELATOS	wiktionary_cat	-	-
arkeō	arkeoː	ARKEO	wiktionary_cat	-	-
arðōs	arðoːs	ARDOS	wiktionary_cat	-	-
assos	assos	ASSOS	wiktionary_cat	-	-
atnos	atnos	ATNOS	wiktionary_cat	-	-
atta	atta	ATTA	wiktionary_cat	-	-
augeō	auɡeoː	AUGEO	wiktionary_cat	-	-
auti	auti	AUTI	wiktionary_cat	-	-
auzis	auzis	AUSIS	wiktionary_cat	-	-
auzom	auzom	AUSOM	wiktionary_cat	-	-
auzōs	auzoːs	AUSOS	wiktionary_cat	-	-
awikaps	awikaps	AWIKAPS	wiktionary_cat	-	-
awis	awis	AWIS	wiktionary_cat	-	-
awizdjō	awizdjoː	AWISDYO	wiktionary_cat	-	-
āzā	aːzaː	ASA	wiktionary_cat	-	-
breɣʷis	breɣʷis	BREGIS	wiktionary_cat	-	-
breɣʷisemos	breɣʷisemos	BREGISEMOS	wiktionary_cat	-	-
breɣʷjōs	breɣʷjoːs	BREGYOS	wiktionary_cat	-	-
-de	-de	DE	wiktionary_cat	-	-
deikō	deikoː	DEIKO	wiktionary_cat	-	-
deiwos	deiwos	DEIWOS	wiktionary_cat	-	-
deiwā	deiwaː	DEIWA	wiktionary_cat	-	-
deiwīnos	deiwiːnos	DEIWINOS	wiktionary_cat	-	-
dekos	dekos	DEKOS	wiktionary_cat	-	-
deksteros	deksteros	DEKSTEROS	wiktionary_cat	-	-
dekēt	dekeːt	DEKET	wiktionary_cat	-	-
dekəm	dekəm	DEKEM	wiktionary_cat	-	-
dekəmos	dekəmos	DEKEMOS	wiktionary_cat	-	-
dents	dents	DENTS	wiktionary_cat	-	-
denɣwā	denɣwaː	DENGWA	wiktionary_cat	-	-
didō	didoː	DIDO	wiktionary_cat	-	-
dikjō	dikjoː	DIKYO	wiktionary_cat	-	-
-diks	-diks	DIKS	wiktionary_cat	-	-
diskō	diskoː	DISKO	wiktionary_cat	-	-
djous	djous	DYOUS	wiktionary_cat	-	-
djous patēr	djous pateːr	DYOUSPATER	wiktionary_cat	-	-
djowjos	djowjos	DYOWYOS	wiktionary_cat	-	-
djēkelos	djeːkelos	DYEKELOS	wiktionary_cat	-	-
dlongos	dlonɡos	DLONGOS	wiktionary_cat	-	-
dokeō	dokeoː	DOKEO	wiktionary_cat	-	-
domanos	domanos	DOMANOS	wiktionary_cat	-	-
domanā	domanaː	DOMANA	wiktionary_cat	-	-
domos	domos	DOMOS	wiktionary_cat	-	-
dormjō	dormjoː	DORMYO	wiktionary_cat	-	-
doukō	doukoː	DOUKO	wiktionary_cat	-	-
duō	duoː	DUO	wiktionary_cat	-	-
dwenos	dwenos	DWENOS	wiktionary_cat	-	-
dwi-	dwi-	DWI	wiktionary_cat	-	-
dwipōts	dwipoːts	DWIPOTS	wiktionary_cat	-	-
dwis	dwis	DWIS	wiktionary_cat	-	-
dōnom	doːnom	DONOM	wiktionary_cat	-	-
dōnāō	doːnaːoː	DONAO	wiktionary_cat	-	-
edō	edoː	EDO	wiktionary_cat	-	-
egō	eɡoː	EGO	wiktionary_cat	-	-
ek	ek	EK	wiktionary_cat	-	-
ekeso	ekeso	EKESO	wiktionary_cat	-	-
ekwos	ekwos	EKWOS	wiktionary_cat	-	-
-elom	-elom	ELOM	wiktionary_cat	-	-
-elos	-elos	ELOS	wiktionary_cat	-	-
-elā	-elaː	ELA	wiktionary_cat	-	-
emō	emoː	EMO	wiktionary_cat	-	-
en	en	EN	wiktionary_cat	-	-
en-	en-	EN	wiktionary_cat	-	-
endo	endo	ENDO	wiktionary_cat	-	-
eneō	eneoː	ENEO	wiktionary_cat	-	-
engents	enɡents	ENGENTS	wiktionary_cat	-	-
enkubāō	enkubaːoː	ENKUBAO	wiktionary_cat	-	-
eno	eno	ENO	wiktionary_cat	-	-
ensis	ensis	ENSIS	wiktionary_cat	-	-
enðernos	enðernos	ENDERNOS	wiktionary_cat	-	-
enðeros	enðeros	ENDEROS	wiktionary_cat	-	-
-ēō	-eːoː	EO	wiktionary_cat	-	-
-eos	-eos	EOS	wiktionary_cat	-	-
erzāō	erzaːoː	ERSAO	wiktionary_cat	-	-
e(s)peso	e(s)peso	ESPESO	wiktionary_cat	-	-
esto	esto	ESTO	wiktionary_cat	-	-
