Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-a	-a	A	wiktionary_cat	-	-
ai-	ai-	AI	wiktionary_cat	-	-
aka	aka	AKA	wiktionary_cat	-	-
ama	ama	AMA	wiktionary_cat	-	-
amai	amai	AMAI	wiktionary_cat	-	-
ana	ana	ANA	wiktionary_cat	-	-
ani	ani	ANI	wiktionary_cat	-	-
ania	ania	ANIA	wiktionary_cat	-	-
ank-a-	ank-a-	ANKA	wiktionary_cat	-	-
anki	anki	ANKI	wiktionary_cat	-	-
anpura	anpuɾa	ANPURA	wiktionary_cat	-	-
anti	anti	ANTI	wiktionary_cat	-	-
anto	anto	ANTO	wiktionary_cat	-	-
ap-	ap-	AP	wiktionary_cat	-	-
apinta	apinta	APINTA	wiktionary_cat	-	-
aponki	aponki	APONKI	wiktionary_cat	-	-
-(a)r-	-(a)ɾ-	AR	wiktionary_cat	-	-
ar-	aɾ-	AR	wiktionary_cat	-	-
arare	aɾaɾe	ARARE	wiktionary_cat	-	-
arasi	aɾasi	ARASI	wiktionary_cat	-	-
ari	aɾi	ARI	wiktionary_cat	-	-
arik-	aɾik-	ARIK	wiktionary_cat	-	-
asa	asa	ASA	wiktionary_cat	-	-
asar-	asaɾ-	ASAR	wiktionary_cat	-	-
asi	asi	ASI	wiktionary_cat	-	-
asita	asita	ASITA	wiktionary_cat	-	-
asump-	asump-	ASUMP	wiktionary_cat	-	-
asya	aɕa	ASA	wiktionary_cat	-	-
atarasi	ataɾasi	ATARASI	wiktionary_cat	-	-
ato	ato	ATO	wiktionary_cat	-	-
atu	atu	ATU	wiktionary_cat	-	-
awa	awa	AWA	wiktionary_cat	-	-
awo	awo	AWO	wiktionary_cat	-	-
awoi	awoi	AWOI	wiktionary_cat	-	-
e-ku	e-ku	EKU	wiktionary_cat	-	-
entu	entu	ENTU	wiktionary_cat	-	-
enu	enu	ENU	wiktionary_cat	-	-
era	eɾa	ERA	wiktionary_cat	-	-
erə	eɾə	ERE	wiktionary_cat	-	-
-i	-i	I	wiktionary_cat	-	-
i-ka	i-ka	IKA	wiktionary_cat	-	-
ik-	ik-	IK	wiktionary_cat	-	-
ika	ika	IKA	wiktionary_cat	-	-
ikari	ikaɾi	IKARI	wiktionary_cat	-	-
ima	ima	IMA	wiktionary_cat	-	-
imanta	imanta	IMANTA	wiktionary_cat	-	-
in-	in-	IN	wiktionary_cat	-	-
inai	inai	INAI	wiktionary_cat	-	-
int-a-	int-a-	INTA	wiktionary_cat	-	-
