Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-m-	-m-	M	oncoj	-	-
-masi-	-masi-	MASI	oncoj	-	-
-n-	-n-	N	oncoj	-	-
-nana	-nana	NANA	oncoj	-	-
-s-	-s-	S	oncoj	-	-
-sime-	-sime-	SIME	oncoj	-	-
-ye-	-je-	YE	oncoj	-	-
-zar-	-zaɾ-	SAR	oncoj	-	-
-ki-	-ki-	KI	oncoj	-	-
-kyer-	-kʲeɾ-	KER	oncoj	-	-
-tar-	-taɾ-	TAR	oncoj	-	-
-te-	-te-	TE	oncoj	-	-
-yer-	-jeɾ-	YER	oncoj	-	-
api	api	API	oncoj	-	-
ari	aɾi	ARI	oncoj	-	-
-re-	-ɾe-	RE	oncoj	-	-
kaki	kaki	KAKI	oncoj	-	-
-kar-	-kaɾ-	KAR	oncoj	-	-
-ki	-ki	KI	oncoj	-	-
-mi	-mi	MI	oncoj	-	-
mi	mi	MI	oncoj	-	-
opomi	opomi	OPOMI	oncoj	-	-
na	na	NA	oncoj	-	-
wosawosa	wosawosa	WOSAWOSA	oncoj	-	-
na…so	na…so	NASO	oncoj	-	-
-sa	-sa	SA	oncoj	-	-
sa	sa	SA	oncoj	-	-
ta	ta	TA	oncoj	-	-
uti	uti	UTI	oncoj	-	-
-nap-	-nap-	NAP	oncoj	-	-
ka	ka	KA	oncoj	-	-
-ap-	-ap-	AP	oncoj	-	-
-r-	-ɾ-	R	oncoj	-	-
-e-	-e-	E	oncoj	-	-
-i-	-i-	I	oncoj	-	-
-t-	-t-	T	oncoj	-	-
-bwi-	-bwi-	BWI	oncoj	-	-
-sabwi-	-sabwi-	SABWI	oncoj	-	-
-sibwi-	-sibwi-	SIBWI	oncoj	-	-
wo	wo	WO	oncoj	-	-
ma	ma	MA	oncoj	-	-
kwo	kwo	KWO	oncoj	-	-
maswo	maswo	MASWO	oncoj	-	-
maswomi	maswomi	MASWOMI	oncoj	-	-
bakari	bakaɾi	BAKARI	oncoj	-	-
dani	dani	DANI	oncoj	-	-
ga	ɡa	GA	oncoj	-	-
gane	ɡane	GANE	oncoj	-	-
kamo	kamo	KAMO	oncoj	-	-
kara	kaɾa	KARA	oncoj	-	-
karani	kaɾani	KARANI	oncoj	-	-
koso	koso	KOSO	oncoj	-	-
kosoba	kosoba	KOSOBA	oncoj	-	-
made	made	MADE	oncoj	-	-
madeni	madeni	MADENI	oncoj	-	-
miyu	miju	MIYU	oncoj	-	-
mo	mo	MO	oncoj	-	-
moga	moɡa	MOGA	oncoj	-	-
mono	mono	MONO	oncoj	-	-
namo	namo	NAMO	oncoj	-	-
ni	ni	NI	oncoj	-	-
