Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
beːᴬ	beː	BE	wiktionary_cat	-	-
biːᴮ	biː	BI	wiktionary_cat	-	-
boːᴮ	boː	BO	wiktionary_cat	-	-
cetᴰ	cet	KET	wiktionary_cat	-	-
damᴬ	dam	DAM	wiktionary_cat	-	-
dokᴰ	dok	DOK	wiktionary_cat	-	-
dukᴰ	duk	DUK	wiktionary_cat	-	-
wɯnᴬ	wɯn	WUN	wiktionary_cat	-	-
kumᴬ	kum	KUM	wiktionary_cat	-	-
kɯəjᴬ	kɯəj	KUEY	wiktionary_cat	-	-
lɯmᴬ	lɯm	LUM	wiktionary_cat	-	-
namꟲ	nam	NAM	wiktionary_cat	-	-
nokᴰ	nok	NOK	wiktionary_cat	-	-
qawꟲ	qaw	KAW	wiktionary_cat	-	-
qɯjꟲ	qɯj	KUY	wiktionary_cat	-	-
qɤmᴬ	qɤm	KM	wiktionary_cat	-	-
qɤpᴰ	qɤp	KP	wiktionary_cat	-	-
rwɯəᴬ	rwɯə	RWUE	wiktionary_cat	-	-
dawᴮ	daw	DAW	wiktionary_cat	-	-
diːᴮ	diː	DI	wiktionary_cat	-	-
haːꟲ	haː	HA	wiktionary_cat	-	-
k.lajᴬ	k.laj	KLAY	wiktionary_cat	-	-
k.rapᴰ	k.rap	KRAP	wiktionary_cat	-	-
k.raŋᴬ	k.raŋ	KRAN	wiktionary_cat	-	-
k.raɰꟲ	k.raɰ	KRAW	wiktionary_cat	-	-
k.raːŋᴮ	k.raːŋ	KRAN	wiktionary_cat	-	-
k.raːŋꟲ	k.raːŋ	KRAN	wiktionary_cat	-	-
k.roːᴬ	k.roː	KRO	wiktionary_cat	-	-
k.tɤtᴰ	k.tɤt	KTT	wiktionary_cat	-	-
kajᴮ	kaj	KAY	wiktionary_cat	-	-
kamᴬ	kam	KAM	wiktionary_cat	-	-
kanᴬ	kan	KAN	wiktionary_cat	-	-
kapᴰ	kap	KAP	wiktionary_cat	-	-
katᴰ	kat	KAT	wiktionary_cat	-	-
kawᴬ	kaw	KAW	wiktionary_cat	-	-
kawᴮ	kaw	KAW	wiktionary_cat	-	-
kaːnꟲ	kaːn	KAN	wiktionary_cat	-	-
kaːŋꟲ	kaːŋ	KAN	wiktionary_cat	-	-
kaːᴬ	kaː	KA	wiktionary_cat	-	-
kepᴰ	kep	KEP	wiktionary_cat	-	-
keːlᴮ	keːl	KEL	wiktionary_cat	-	-
keːmꟲ	keːm	KEM	wiktionary_cat	-	-
keːᴮ	keː	KE	wiktionary_cat	-	-
keːꟲ	keː	KE	wiktionary_cat	-	-
kiːꟲ	kiː	KI	wiktionary_cat	-	-
klanꟲ	klan	KLAN	wiktionary_cat	-	-
klawꟲ	klaw	KLAW	wiktionary_cat	-	-
klaːjᴬ	klaːj	KLAY	wiktionary_cat	-	-
klaːŋᴬ	klaːŋ	KLAN	wiktionary_cat	-	-
klaːꟲ	klaː	KLA	wiktionary_cat	-	-
klecꟲ	klec	KLEK	wiktionary_cat	-	-
kliəwᴬ	kliəw	KLIEW	wiktionary_cat	-	-
kloːŋᴬ	kloːŋ	KLON	wiktionary_cat	-	-
kluəjꟲ	kluəj	KLUEY	wiktionary_cat	-	-
klwɯəᴬ	klwɯə	KLWUE	wiktionary_cat	-	-
klɤlᴬ	klɤl	KLL	wiktionary_cat	-	-
konꟲ	kon	KON	wiktionary_cat	-	-
koːnᴮ	koːn	KON	wiktionary_cat	-	-
koːpᴰ	koːp	KOP	wiktionary_cat	-	-
koːtᴰ	koːt	KOT	wiktionary_cat	-	-
koːŋᴬ	koːŋ	KON	wiktionary_cat	-	-
koːᴬ	koː	KO	wiktionary_cat	-	-
koːᴮ	koː	KO	wiktionary_cat	-	-
koːꟲ	koː	KO	wiktionary_cat	-	-
krawꟲ	kraw	KRAW	wiktionary_cat	-	-
kraːꟲ	kraː	KRA	wiktionary_cat	-	-
kraᴬ	kra	KRA	wiktionary_cat	-	-
krokᴰ	krok	KROK	wiktionary_cat	-	-
kuːtᴰ	kuːt	KUT	wiktionary_cat	-	-
kuːᴬ	kuː	KU	wiktionary_cat	-	-
kwaːtᴰ	kwaːt	KWAT	wiktionary_cat	-	-
kwɯəŋᴬ	kwɯəŋ	KWUEN	wiktionary_cat	-	-
kɯɲᴬ	kɯɲ	KUN	wiktionary_cat	-	-
kɤmꟲ	kɤm	KM	wiktionary_cat	-	-
kɤpᴰ	kɤp	KP	wiktionary_cat	-	-
kɤwꟲ	kɤw	KW	wiktionary_cat	-	-
liːnꟲ	liːn	LIN	wiktionary_cat	-	-
lɯətᴰ	lɯət	LUET	wiktionary_cat	-	-
lɤmꟲ	lɤm	LM	wiktionary_cat	-	-
maːꟲ	maː	MA	wiktionary_cat	-	-
mwɯːᴬ	mwɯː	MWU	wiktionary_cat	-	-
mɯŋᴬ	mɯŋ	MUN	wiktionary_cat	-	-
naːjᴬ	naːj	NAY	wiktionary_cat	-	-
nɯːŋᴮ	nɯːŋ	NUN	wiktionary_cat	-	-
p.qaːjᴬ	p.qaːj	PKAY	wiktionary_cat	-	-
p.qaːᴬ	p.qaː	PKA	wiktionary_cat	-	-
p.taːjᴬ	p.taːj	PTAY	wiktionary_cat	-	-
p.taːᴬ	p.taː	PTA	wiktionary_cat	-	-
paːkᴰ	paːk	PAK	wiktionary_cat	-	-
peːtᴰ	peːt	PET	wiktionary_cat	-	-
plaːᴬ	plaː	PLA	wiktionary_cat	-	-
praːkᴰ	praːk	PRAK	wiktionary_cat	-	-
prɤmᴬ	prɤm	PRM	wiktionary_cat	-	-
q.pɯlᴬ	q.pɯl	KPUL	wiktionary_cat	-	-
qawᴬ	qaw	KAW	wiktionary_cat	-	-
qaːtᴰ	qaːt	KAT	wiktionary_cat	-	-
qaːꟲ	qaː	KA	wiktionary_cat	-	-
qemᴬ	qem	KEM	wiktionary_cat	-	-
r.ŋaːᴬ	r.ŋaː	RNA	wiktionary_cat	-	-
roːkᴰ	roːk	ROK	wiktionary_cat	-	-
rwɤːjꟲ	rwɤːj	RWY	wiktionary_cat	-	-
saːm	saːm	SAM	wiktionary_cat	-	-
siːᴮ	siː	SI	wiktionary_cat	-	-
soːŋᴬ	soːŋ	SON	wiktionary_cat	-	-
swɯːnᴬ	swɯːn	SWUN	wiktionary_cat	-	-
sɤmꟲ	sɤm	SM	wiktionary_cat	-	-
truəᴬ	truə	TRUE	wiktionary_cat	-	-
vaːꟲ	vaː	BA	wiktionary_cat	-	-
wanᴬ	wan	WAN	wiktionary_cat	-	-
wɤjᴬ	wɤj	WY	wiktionary_cat	-	-
xaːwᴬ	xaːw	KAW	wiktionary_cat	-	-
xaːᴮ	xaː	KA	wiktionary_cat	-	-
xiəwᴬ	xiəw	KIEW	wiktionary_cat	-	-
xwaːnᴬ	xwaːn	KWAN	wiktionary_cat	-	-
xwiːwᴬ	xwiːw	KWIW	wiktionary_cat	-	-
xɔːᴬ	xɔː	KO	wiktionary_cat	-	-
ŋwanᴬ	ŋwan	NWAN	wiktionary_cat	-	-
ŋwɯːᴬ	ŋwɯː	NWU	wiktionary_cat	-	-
ŋɯəkᴰ	ŋɯək	NUEK	wiktionary_cat	-	-
ɓilᴬ	ɓil	BIL	wiktionary_cat	-	-
ɓlɯənᴬ	ɓlɯən	BLUEN	wiktionary_cat	-	-
ɗaŋᴬ	ɗaŋ	DAN	wiktionary_cat	-	-
ɗrwajᴬ	ɗrwaj	DRWAY	wiktionary_cat	-	-
