Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-a	-a	A	wiktionary_cat	-	-
abuč	abutʃ	ABUTS	wiktionary_cat	-	-
abïčga	abɯtʃɡa	ABUTSGA	wiktionary_cat	-	-
adak	adak	ADAK	wiktionary_cat	-	-
adgïr	adɡɯr	ADGUR	wiktionary_cat	-	-
adïg	adɯɡ	ADUG	wiktionary_cat	-	-
adïr-	adɯr-	ADUR	wiktionary_cat	-	-
agrïg	aɡrɯɡ	AGRUG	wiktionary_cat	-	-
agsa-	aɡsa-	AGSA	wiktionary_cat	-	-
agsak	aɡsak	AGSAK	wiktionary_cat	-	-
agtar-	aɡtar-	AGTAR	wiktionary_cat	-	-
agïr	aɡɯr	AGUR	wiktionary_cat	-	-
agïŕ	aɡɯrʲ	AGUR	wiktionary_cat	-	-
-ak	-ak	AK	wiktionary_cat	-	-
ak-	ak-	AK	wiktionary_cat	-	-
akïn	akɯn	AKUN	wiktionary_cat	-	-
al-	al-	AL	wiktionary_cat	-	-
alabuda	alabuda	ALABUDA	wiktionary_cat	-	-
alaŋ	alaŋ	ALAN	wiktionary_cat	-	-
alma	alma	ALMA	wiktionary_cat	-	-
almïla	almɯla	ALMULA	wiktionary_cat	-	-
alp	alp	ALP	wiktionary_cat	-	-
altmïĺ	altmɯlʲ	ALTMUL	wiktionary_cat	-	-
altï	altɯ	ALTU	wiktionary_cat	-	-
altūn	altuːn	ALTUN	wiktionary_cat	-	-
am	am	AM	wiktionary_cat	-	-
anlayu	anlaju	ANLAYU	wiktionary_cat	-	-
apa	apa	APA	wiktionary_cat	-	-
arka	arka	ARKA	wiktionary_cat	-	-
arkan	arkan	ARKAN	wiktionary_cat	-	-
arpa	arpa	ARPA	wiktionary_cat	-	-
arsïlan	arsɯlan	ARSULAN	wiktionary_cat	-	-
art-	art-	ART	wiktionary_cat	-	-
artuč	artutʃ	ARTUTS	wiktionary_cat	-	-
arïg	arɯɡ	ARUG	wiktionary_cat	-	-
at	at	AT	wiktionary_cat	-	-
at-	at-	AT	wiktionary_cat	-	-
ata	ata	ATA	wiktionary_cat	-	-
atla-	atla-	ATLA	wiktionary_cat	-	-
ayaŕ	ajarʲ	AYAR	wiktionary_cat	-	-
ayla-	ajla-	AYLA	wiktionary_cat	-	-
ayran	ajran	AYRAN	wiktionary_cat	-	-
ač-	atʃ-	ATS	wiktionary_cat	-	-
ań-	anʲ-	AN	wiktionary_cat	-	-
ańak	anʲak	ANAK	wiktionary_cat	-	-
aŕïg	arʲɯɡ	ARUG	wiktionary_cat	-	-
badram	badram	BADRAM	wiktionary_cat	-	-
bagatur	baɡatur	BAGATUR	wiktionary_cat	-	-
bagïr	baɡɯr	BAGUR	wiktionary_cat	-	-
bagïrsuk	baɡɯrsuk	BAGURSUK	wiktionary_cat	-	-
bak-	bak-	BAK	wiktionary_cat	-	-
bakïr	bakɯr	BAKUR	wiktionary_cat	-	-
bal	bal	BAL	wiktionary_cat	-	-
balkï-	balkɯ-	BALKU	wiktionary_cat	-	-
baltu	baltu	BALTU	wiktionary_cat	-	-
balčïk	baltʃɯk	BALTSUK	wiktionary_cat	-	-
bar-	bar-	BAR	wiktionary_cat	-	-
