Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ac	ak	AK	ceipom	-	-
acacelini	akakelini	AKAKELINI	ceipom	-	-
acar	akar	AKAR	ceipom	-	-
acarcelini	akarkelini	AKARKELINI	ceipom	-	-
acarcelinio	akarkelinio	AKARKELINIO	ceipom	-	-
aci	aki	AKI	ceipom	-	-
aciuaiom	akiuaiom	AKIUAIOM	ceipom	-	-
aconia	akonia	AKONIA	ceipom	-	-
acre	akre	AKRE	ceipom	-	-
acutilios	akutilios	AKUTILIOS	ceipom	-	-
ad	ad	AD	ceipom	-	-
af	af	AP	ceipom	-	-
afc	afk	APK	ceipom	-	-
aia	aia	AIA	ceipom	-	-
aie	aie	AIE	ceipom	-	-
aiedies	aiedies	AIEDIES	ceipom	-	-
aiiice	aiːike	AIIKE	ceipom	-	-
aimiosio	aimiosio	AIMIOSIO	ceipom	-	-
aino	aino	AINO	ceipom	-	-
ait	ait	AIT	ceipom	-	-
alonus	alonus	ALONUS	ceipom	-	-
altai	altai	ALTAI	ceipom	-	-
am	am	AM	ceipom	-	-
amanos	amanos	AMANOS	ceipom	-	-
ame	ame	AME	ceipom	-	-
an	an	AN	ceipom	-	-
aneli	aneli	ANELI	ceipom	-	-
anelia	anelia	ANELIA	ceipom	-	-
ani	ani	ANI	ceipom	-	-
anin	anin	ANIN	ceipom	-	-
anio	anio	ANIO	ceipom	-	-
ao	ao	AO	ceipom	-	-
aosena	aosena	AOSENA	ceipom	-	-
ap	ap	AP	ceipom	-	-
apa	apa	APA	ceipom	-	-
apolo	apolo	APOLO	ceipom	-	-
apolonos	apolonos	APOLONOS	ceipom	-	-
ar	ar	AR	ceipom	-	-
arantio	arantio	ARANTIO	ceipom	-	-
aratia	aratia	ARATIA	ceipom	-	-
aratio	aratio	ARATIO	ceipom	-	-
arcentelom	arkentelom	ARKENTELOM	ceipom	-	-
are	are	ARE	ceipom	-	-
arn	arn	ARN	ceipom	-	-
aronto	aronto	ARONTO	ceipom	-	-
arp	arp	ARP	ceipom	-	-
arthre	artʰre	ARTRE	ceipom	-	-
artio	artio	ARTIO	ceipom	-	-
arute	arute	ARUTE	ceipom	-	-
arutielia	arutielia	ARUTIELIA	ceipom	-	-
arutlo	arutlo	ARUTLO	ceipom	-	-
aruto	aruto	ARUTO	ceipom	-	-
aruz	aruz	ARUS	ceipom	-	-
at	at	AT	ceipom	-	-
atroni	atroni	ATRONI	ceipom	-	-
au	au	AU	ceipom	-	-
aue	aue	AUE	ceipom	-	-
aufilio	aufilio	AUPILIO	ceipom	-	-
aufilo	aufilo	AUPILO	ceipom	-	-
batio	batio	BATIO	ceipom	-	-
bis	bis	BIS	ceipom	-	-
ca	ka	KA	ceipom	-	-
cailia	kailia	KAILIA	ceipom	-	-
cailio	kailio	KAILIO	ceipom	-	-
caisia	kaisia	KAISIA	ceipom	-	-
caisio	kaisio	KAISIO	ceipom	-	-
caisioi	kaisioi	KAISIOI	ceipom	-	-
caius	kaius	KAIUS	ceipom	-	-
cal	kal	KAL	ceipom	-	-
calitenes	kalitenes	KALITENES	ceipom	-	-
canumede	kanumede	KANUMEDE	ceipom	-	-
carefo	karefo	KAREPO	ceipom	-	-
catinei	katinei	KATINEI	ceipom	-	-
cau	kau	KAU	ceipom	-	-
caui	kaui	KAUI	ceipom	-	-
cauia	kauia	KAUIA	ceipom	-	-
cauio	kauio	KAUIO	ceipom	-	-
cauios	kauios	KAUIOS	ceipom	-	-
ce	ke	KE	ceipom	-	-
ceisio	keisio	KEISIO	ceipom	-	-
cel	kel	KEL	ceipom	-	-
cela	kela	KELA	ceipom	-	-
celinio	kelinio	KELINIO	ceipom	-	-
celio	kelio	KELIO	ceipom	-	-
ceres	keres	KERES	ceipom	-	-
cesi	kesi	KESI	ceipom	-	-
cesie	kesie	KESIE	ceipom	-	-
cesies	kesies	KESIES	ceipom	-	-
cesilia	kesilia	KESILIA	ceipom	-	-
cesio	kesio	KESIO	ceipom	-	-
cesula	kesula	KESULA	ceipom	-	-
cfli	kfli	KPLI	ceipom	-	-
cicio	kikio	KIKIO	ceipom	-	-
cicoi	kikoi	KIKOI	ceipom	-	-
cincia	kinkia	KINKIA	ceipom	-	-
cipiario	kipiario	KIPIARIO	ceipom	-	-
cisi	kisi	KISI	ceipom	-	-
citiai	kitiai	KITIAI	ceipom	-	-
clanidio	klanidio	KLANIDIO	ceipom	-	-
clanu	klanu	KLANU	ceipom	-	-
clipeaio	klipeaio	KLIPEAIO	ceipom	-	-
cn	kn	KN	ceipom	-	-
cocelia	kokelia	KOKELIA	ceipom	-	-
colanioi	kolanioi	KOLANIOI	ceipom	-	-
conu	konu	KONU	ceipom	-	-
cr	kr	KR	ceipom	-	-
cra	kra	KRA	ceipom	-	-
crai	krai	KRAI	ceipom	-	-
cre	kre	KRE	ceipom	-	-
cs	ks	KS	ceipom	-	-
cua	kua	KUA	ceipom	-	-
cue	kue	KUE	ceipom	-	-
cuestod	kuestod	KUESTOD	ceipom	-	-
cuestor	kuestor	KUESTOR	ceipom	-	-
cui	kui	KUI	ceipom	-	-
cuicto	kuikto	KUIKTO	ceipom	-	-
cupa	kupa	KUPA	ceipom	-	-
cupant	kupant	KUPANT	ceipom	-	-
cupat	kupat	KUPAT	ceipom	-	-
cupido	kupido	KUPIDO	ceipom	-	-
cus	kus	KUS	ceipom	-	-
cutri	kutri	KUTRI	ceipom	-	-
dat	dat	DAT	ceipom	-	-
decimus	dekimus	DEKIMUS	ceipom	-	-
dedet	dedet	DEDET	ceipom	-	-
dedit	dedit	DEDIT	ceipom	-	-
diespater	diespater	DIESPATER	ceipom	-	-
dono	dono	DONO	ceipom	-	-
donum	donum	DONUM	ceipom	-	-
douiad	douiad	DOUIAD	ceipom	-	-
duenas	duenas	DUENAS	ceipom	-	-
