Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
aara	aara	AARA	wiktionary	a_yard	-
alus	alus	ALUS	wiktionary	a_priest	-
ama	ama	AMA	wiktionary	to_love	-
amu	amu	AMU	wiktionary	i	-
arlili	arlili	ARLILI	wiktionary	own	-
avka	avka	ABKA	wiktionary	legal	-
bi	bi	BI	wiktionary	to_give	-
bira	bira	BIRA	wiktionary	a_house	-
borli	borli	BORLI	wiktionary	a_year	-
da	da	DA	wiktionary	to_give	-
daul	daul	DAUL	wiktionary	to_press	-
det	det	DET	wiktionary	property	-
divi	divi	DIBI	wiktionary	a_god	-
divnali	divnali	DIBNALI	wiktionary	divine	-
duve	duve	DUBE	wiktionary	to_construct	-
e	e	E	wiktionary	to_be	-
ebad	ebad	EBAD	wiktionary	here	-
emi	emi	EMI	wiktionary	my	-
ena	ena	ENA	wiktionary	mother	-
es	es	ES	wiktionary	this	-
eta	eta	ETA	wiktionary	a_grandson	-
fa	fa	PA	wiktionary	upon	-
fata	fata	PATA	wiktionary	defense	-
fra	fra	PRA	wiktionary	across	-
i	i	I	wiktionary	to_do	-
istamin	istamin	ISTAMIN	wiktionary	a_family	-
kan	kan	KAN	wiktionary	a_dog	-
kana	kana	KANA	wiktionary	wife	-
kardal	kardal	KARDAL	wiktionary	he_constructed	-
kave	kave	KABE	wiktionary	a_priest	-
klida	klida	KLIDA	wiktionary	land	-
kofu	kofu	KOPU	wiktionary	water	-
kot	kot	KOT	wiktionary	he_swears	-
labrus	labrus	LABRUS	wiktionary	a_pole_ax	-
lailas	lailas	LAILAS	wiktionary	a_sovereign	-
lale	lale	LALE	wiktionary	to_speak	-
laqrisa	lakʷrisa	LAKRISA	wiktionary	a_wall	-
mruvaa	mruvaa	MRUBAA	wiktionary	a_stele	-
nars	nars	NARS	wiktionary	valor	-
ni	ni	NI	wiktionary	not	-
ora	ora	ORA	wiktionary	a_month	-
qalmlus	kʷalmlus	KALMLUS	wiktionary	a_king	-
qela	kʷela	KELA	wiktionary	an_area	-
qelis	kʷelis	KELIS	wiktionary	everything	-
qen	kʷen	KEN	wiktionary	to_kill	-
qira	kʷira	KIRA	wiktionary	property	-
sav	sav	SAB	wiktionary	the_good	-
serli	serli	SERLI	wiktionary	a_leader	-
sfa	sfa	SPA	wiktionary	self	-
sfard	sfard	SPARD	wiktionary	sardis	-
silavad	silavad	SILABAD	wiktionary	to_take_care	-
tase	tase	TASE	wiktionary	a_column	-
tavsa	tavsa	TABSA	wiktionary	powerful	-
ti	ti	TI	wiktionary	this	-
tro	tro	TRO	wiktionary	to_speak	-
vana	vana	BANA	wiktionary	a_tomb	-
vidi	vidi	BIDI	wiktionary	to_build	-
vis	vis	BIS	wiktionary	good	-
vsta	vsta	BSTA	wiktionary	a_heir	-
