Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
acisius	akisjus	AKISYUS	lexlep	-	-
aes	aes	AES	lexlep	-	-
aesia	aesia	AESIA	lexlep	-	-
ak	ak	AK	lexlep	-	-
akeśi	akeʃi	AKESI	lexlep	-	-
akisios	akisijos	AKISIYOS	lexlep	-	-
akitu	aɡiduː	AGIDU	lexlep	-	-
akiui	aɡijuːi̯	AGIYUI	lexlep	-	-
akluśamoualos	akluʃamoualos	AKLUSAMOUALOS	lexlep	-	-
al	al	AL	lexlep	-	-
alaukos	alaukos	ALAUKOS	lexlep	-	-
alieis	alieis	ALIEIS	lexlep	-	-
alios	alːlijos	ALLIYOS	lexlep	-	-
alkouinos	alkou̯indos	ALKOUINDOS	lexlep	-	-
amaśilu	amaʃilu	AMASILU	lexlep	-	-
ana	anaː	ANA	lexlep	-	-
anarekartos	andarekartos	ANDAREKARTOS	lexlep	-	-
anareuiśeos	anareuiʃeos	ANAREUISEOS	lexlep	-	-
anatikou	anatikou	ANATIKOU	lexlep	-	-
anio	anio	ANIO	lexlep	-	-
anisa	anːnissaː	ANNISSA	lexlep	-	-
anokopokios	andokomboɡijos	ANDOKOMBOGIYOS	lexlep	-	-
anteśilu	anteʃilu	ANTESILU	lexlep	-	-
ap	ap	AP	lexlep	-	-
apios	apjos	APYOS	lexlep	-	-
apueso	apueso	APUESO	lexlep	-	-
areuizies	areuitsies	AREUITSIES	lexlep	-	-
argantocomaterecus	arɡantocomaterecus	ARGANTOKOMATEREKUS	lexlep	-	-
arimai	arimai	ARIMAI	lexlep	-	-
ariuonepos	ariwonebos	ARIWONEBOS	lexlep	-	-
ariśai	ariʃai	ARISAI	lexlep	-	-
arkatokomaterekos	arɡantokomaterekos	ARGANTOKOMATEREKOS	lexlep	-	-
arki	arkɡijiː	ARKGIYI	lexlep	-	-
arpatimoi	arpatimoi	ARPATIMOI	lexlep	-	-
art	art	ART	lexlep	-	-
artebuθz	artebuθts	ARTEBUTTS	lexlep	-	-
artonis	artonis	ARTONIS	lexlep	-	-
artuaś	artuaʃ	ARTUAS	lexlep	-	-
aruki	aruɡiː	ARUGI	lexlep	-	-
ase	ase	ASE	lexlep	-	-
aststaz	aststats	ASTSTATS	lexlep	-	-
astuo	astuo	ASTUO	lexlep	-	-
at	at	AT	lexlep	-	-
atai	atːaːi̯	ATAI	lexlep	-	-
atbiti	atbiːitiː	ATBIITI	lexlep	-	-
atecua	atekuwaː	ATEKUWA	lexlep	-	-
ateknati	ateɡnaːtiː	ATEGNATI	lexlep	-	-
atekua	atekuwaː	ATEKUWA	lexlep	-	-
atep	atep	ATEP	lexlep	-	-
atepa	atepaː	ATEPA	lexlep	-	-
ateporix	ateporiks	ATEPORIKS	lexlep	-	-
atepu	atepuː	ATEPU	lexlep	-	-
ateratos	ateratos	ATERATOS	lexlep	-	-
aterio	aterijoː	ATERIYO	lexlep	-	-
ateuloipitus	ateuloipitus	ATEULOIPITUS	lexlep	-	-
atiaki	atiaki	ATIAKI	lexlep	-	-
atieki	atieki	ATIEKI	lexlep	-	-
atilonei	atilonei̯	ATILONEI	lexlep	-	-
atios	atːtijos	ATTIYOS	lexlep	-	-
atiss	atiss	ATISS	lexlep	-	-
atlatu	adlatuː	ADLATU	lexlep	-	-
atom	antom	ANTOM	lexlep	-	-
atoś	atoʃ	ATOS	lexlep	-	-
au	au	AU	lexlep	-	-
auai	au̯aːi̯	AUAI	lexlep	-	-
aui	au̯uːi̯	AUUI	lexlep	-	-
aunmi	aunmi	AUNMI	lexlep	-	-
autesai	au̯tessai̯	AUTESSAI	lexlep	-	-
azus	atsus	ATSUS	lexlep	-	-
aśeś	aʃeʃ	ASES	lexlep	-	-
aśkoneti	aʃkoneti	ASKONETI	lexlep	-	-
aśkonetio	aʃkonetio	ASKONETIO	lexlep	-	-
aśmina	aʃmina	ASMINA	lexlep	-	-
aśouni	aʃouni	ASOUNI	lexlep	-	-
aśuesa	aʃuesa	ASUESA	lexlep	-	-
broχθui	broxθui	BROKTUI	lexlep	-	-
caledonos	kaleːdonos	KALEDONOS	lexlep	-	-
celθestra	celθestra	KELTESTRA	lexlep	-	-
cesii	cesii	KESII	lexlep	-	-
ciami	kjamiː	KYAMI	lexlep	-	-
cnreiu	cnreiu	KNREIU	lexlep	-	-
coisis	koi̯sis	KOISIS	lexlep	-	-
declai	declai	DEKLAI	lexlep	-	-
diuconis	diːwkonis	DIWKONIS	lexlep	-	-
drutei	drutiː	DRUTI	lexlep	-	-
druti	drutiː	DRUTI	lexlep	-	-
dugiaua	duɡiaua	DUGIAUA	lexlep	-	-
ekr	ekr	EKR	lexlep	-	-
eluveitie	eluweitie	ELUWEITIE	lexlep	-	-
enu	enːuː	ENU	lexlep	-	-
eripoχios	eripoxios	ERIPOKIOS	lexlep	-	-
esanekoti	exsandekotːiː	EKSANDEKOTI	lexlep	-	-
eskiko	exskinɡoː	EKSKINGO	lexlep	-	-
eskikorikos	exskinɡoriːɡos	EKSKINGORIGOS	lexlep	-	-
esonius	exsoːnijus	EKSONIYUS	lexlep	-	-
esopnio	eksobnijo	EKSOBNIYO	lexlep	-	-
esopnos	eksobnos	EKSOBNOS	lexlep	-	-
etu	eːtuː	ETU	lexlep	-	-
eu	eeːw	EEW	lexlep	-	-
exobna	eksobna	EKSOBNA	lexlep	-	-
fesia	ɸesjaː	PESYA	lexlep	-	-
iakir	iakir	IAKIR	lexlep	-	-
iatuini	jantuwindiː	YANTUWINDI	lexlep	-	-
iazus	iatsus	IATSUS	lexlep	-	-
ieureu	jewruː	YEWRU	lexlep	-	-
iknoiso	iɡnoiso	IGNOISO	lexlep	-	-
ilauki	ilauki	ILAUKI	lexlep	-	-
ilus	ilus	ILUS	lexlep	-	-
inou	inːuː	INU	lexlep	-	-
inutu	inːutuː	INUTU	lexlep	-	-
iouiku	jou̯inkuː	YOUINKU	lexlep	-	-
irumeli	irumeliː	IRUMELI	lexlep	-	-
isiti	isiti	ISITI	lexlep	-	-
isos	isos	ISOS	lexlep	-	-
isti	isti	ISTI	lexlep	-	-
iśos	iʃos	ISOS	lexlep	-	-
ka	ka	KA	lexlep	-	-
kai	kai	KAI	lexlep	-	-
kaialoiso	kai̯aloi̯so	KAIALOISO	lexlep	-	-
kaio	kai̯oː	KAIO	lexlep	-	-
kalatiknos	ɡalatiknos	GALATIKNOS	lexlep	-	-
kalite	kalite	KALITE	lexlep	-	-
kaputus	kaputus	KAPUTUS	lexlep	-	-
karite	karite	KARITE	lexlep	-	-
karnitu	karnituː	KARNITU	lexlep	-	-
karnitus	karniːtus	KARNITUS	lexlep	-	-
kas	kas	KAS	lexlep	-	-
kasikos	kassikos	KASSIKOS	lexlep	-	-
kasiloi	kassiloi̯	KASSILOI	lexlep	-	-
kasilos	kassilos	KASSILOS	lexlep	-	-
kasilus	kassilus	KASSILUS	lexlep	-	-
kasios	kassijos	KASSIYOS	lexlep	-	-
kasiuos	kassiwos	KASSIWOS	lexlep	-	-
kat	kat	KAT	lexlep	-	-
katu	katːtuː	KATTU	lexlep	-	-
katua	katwaː	KATWA	lexlep	-	-
katutiniois	katutiniois	KATUTINIOIS	lexlep	-	-
keleśu	keleʃu	KELESU	lexlep	-	-
kepi	kepiː	KEPI	lexlep	-	-
ki	ki	KI	lexlep	-	-
kia	ɡja	GYA	lexlep	-	-
kiketu	kinɡetuː	KINGETU	lexlep	-	-
kirati	kirːratiː	KIRRATI	lexlep	-	-
kituaretos	kintuwaretos	KINTUWARETOS	lexlep	-	-
klamuram	klamuram	KLAMURAM	lexlep	-	-
klanalui	klanaluːi̯	KLANALUI	lexlep	-	-
koilios	koi̯lijos	KOILIYOS	lexlep	-	-
koimila	koi̯milːlaː	KOIMILLA	lexlep	-	-
koisis	koi̯sis	KOISIS	lexlep	-	-
koiśa	koiʃa	KOISA	lexlep	-	-
koliu	koliu	KOLIU	lexlep	-	-
koliuetu	koliuetu	KOLIUETU	lexlep	-	-
koma	komaː	KOMA	lexlep	-	-
komeuios	komeːwijos	KOMEWIYOS	lexlep	-	-
komoneos	komːmoneos	KOMMONEOS	lexlep	-	-
komonos	komonos	KOMONOS	lexlep	-	-
koneu	koneu	KONEU	lexlep	-	-
kop	kop	KOP	lexlep	-	-
kopenatis	kopenatis	KOPENATIS	lexlep	-	-
kopiu	kobijuː	KOBIYU	lexlep	-	-
koplutus	kobluːtus	KOBLUTUS	lexlep	-	-
kośio	koʃio	KOSIO	lexlep	-	-
kpamuram	kpamuram	KPAMURAM	lexlep	-	-
krasanikna	krasanikna	KRASANIKNA	lexlep	-	-
kri	kɡri	KGRI	lexlep	-	-
ku	ku	KU	lexlep	-	-
kualui	kuwaluːi̯	KUWALUI	lexlep	-	-
kuaśoni	kuaʃoni	KUASONI	lexlep	-	-
kuimpalui	kuwimpaluːi̯	KUWIMPALUI	lexlep	-	-
kulopoui	kulobou̯iː	KULOBOUI	lexlep	-	-
kulsius	kulsius	KULSIUS	lexlep	-	-
kut	kut	KUT	lexlep	-	-
kutsiu	kutsiu	KUTSIU	lexlep	-	-
kuvei	kuwei	KUWEI	lexlep	-	-
laniakios	lanijaːkijos	LANIYAKIYOS	lexlep	-	-
latumarui	laːatumaːruːi̯	LAATUMARUI	lexlep	-	-
le	le	LE	lexlep	-	-
leta	letaː	LETA	lexlep	-	-
letiu	letːtdijuː	LETTDIYU	lexlep	-	-
leucuro	lewkuroː	LEWKURO	lexlep	-	-
leukururitu	lewkuruwriːtuː	LEWKURUWRITU	lexlep	-	-
li	li	LI	lexlep	-	-
lit	lit	LIT	lexlep	-	-
lokan	loɡaːn	LOGAN	lexlep	-	-
lou	lou	LOU	lexlep	-	-
lukios	luuːkːkɡijos	LUUKKGIYOS	lexlep	-	-
luto	luːtoː	LUTO	lexlep	-	-
lutou	luːtuː	LUTU	lexlep	-	-
lutu	luːtuː	LUTU	lexlep	-	-
ma	ma	MA	lexlep	-	-
maeloni	mai̯loniː	MAILONI	lexlep	-	-
maeśilalui	maeʃilalui	MAESILALUI	lexlep	-	-
matikios	matikijos	MATIKIYOS	lexlep	-	-
matopokios	maaːtoboɡijos	MAATOBOGIYOS	lexlep	-	-
mauila	mau̯ilːaː	MAUILA	lexlep	-	-
me	me	ME	lexlep	-	-
metalui	metaluːi̯	METALUI	lexlep	-	-
metelikna	meteliknaː	METELIKNA	lexlep	-	-
metelui	meteluːi̯	METELUI	lexlep	-	-
mezu	metsu	METSU	lexlep	-	-
minui	miːnwiː	MINWI	lexlep	-	-
minuku	miːnukuː	MINUKU	lexlep	-	-
mita	midtaː	MIDTA	lexlep	-	-
moc	mokːk	MOKK	lexlep	-	-
moconis	mokonis	MOKONIS	lexlep	-	-
mus	mus	MUS	lexlep	-	-
musu	mussuː	MUSSU	lexlep	-	-
muθikuś	muθikuʃ	MUTIKUS	lexlep	-	-
namu	namuː	NAMU	lexlep	-	-
natom	natom	NATOM	lexlep	-	-
natoris	nantoriːxs	NANTORIKS	lexlep	-	-
naθina	natinaː	NATINA	lexlep	-	-
neisu	neisu	NEISU	lexlep	-	-
nemetieś	nemetieʃ	NEMETIES	lexlep	-	-
nemuśus	nemuʃus	NEMUSUS	lexlep	-	-
nerios	nerios	NERIOS	lexlep	-	-
nimonikna	niiːmoniknaː	NIIMONIKNA	lexlep	-	-
nosarti	nosarti	NOSARTI	lexlep	-	-
obauzana	obautsana	OBAUTSANA	lexlep	-	-
oisapi	oisapi	OISAPI	lexlep	-	-
oisenu	oisenu	OISENU	lexlep	-	-
oletu	olːleduː	OLLEDU	lexlep	-	-
omezecuai	ometsecuai	OMETSEKUAI	lexlep	-	-
onis	onis	ONIS	lexlep	-	-
ot	ot	OT	lexlep	-	-
otiui	ontːtjuːi̯	ONTTYUI	lexlep	-	-
ośoris	oʃoris	OSORIS	lexlep	-	-
pala	palaː	PALA	lexlep	-	-
palam	palaːm	PALAM	lexlep	-	-
pau	pau	PAU	lexlep	-	-
pazros	patsros	PATSROS	lexlep	-	-
pe	pe	PE	lexlep	-	-
pei	pei	PEI	lexlep	-	-
pekuśia	pekuʃia	PEKUSIA	lexlep	-	-
pelkui	belɡuːi̯	BELGUI	lexlep	-	-
penilas	benilaːs	BENILAS	lexlep	-	-
penini	penːiːniː	PENINI	lexlep	-	-
pesa	pesa	PESA	lexlep	-	-
pesoui	pesoui	PESOUI	lexlep	-	-
petu	petuː	PETU	lexlep	-	-
pi	pi	PI	lexlep	-	-
piami	piami	PIAMI	lexlep	-	-
pianu	pjaaːnuː	PYAANU	lexlep	-	-
pipem	pipem	PIPEM	lexlep	-	-
pipen	pipen	PIPEN	lexlep	-	-
piraki	biraːkiː	BIRAKI	lexlep	-	-
pirakos	biraːkos	BIRAKOS	lexlep	-	-
pirauiχeś	pirauixeʃ	PIRAUIKES	lexlep	-	-
piretos	biretos	BIRETOS	lexlep	-	-
pireuos	birewos	BIREWOS	lexlep	-	-
piriχio	pirixio	PIRIKIO	lexlep	-	-
pisa	pisa	PISA	lexlep	-	-
pit	bit	BIT	lexlep	-	-
piuo	biwoː	BIWO	lexlep	-	-
piuonei	biwonei̯	BIWONEI	lexlep	-	-
piuonta	biwontaː	BIWONTA	lexlep	-	-
piuos	biwos	BIWOS	lexlep	-	-
piuot	biwot	BIWOT	lexlep	-	-
piuotialui	biwontijaluːi̯	BIWONTIYALUI	lexlep	-	-
plai	plai	PLAI	lexlep	-	-
plialeθu	blialːetuː	BLIALETU	lexlep	-	-
plioiso	blijoi̯so	BLIYOISO	lexlep	-	-
plios	blijos	BLIYOS	lexlep	-	-
poenino	poeniːnoː	POENINO	lexlep	-	-
poikani	poikani	POIKANI	lexlep	-	-
poininos	poiniːnos	POININOS	lexlep	-	-
poinunei	poinuːnei̯	POINUNEI	lexlep	-	-
polios	pbolːlijos	PBOLLIYOS	lexlep	-	-
pompeteχuaios	pompetexuaios	POMPETEKUAIOS	lexlep	-	-
porkos	porkos	PORKOS	lexlep	-	-
pou	bou̯uː	BOUU	lexlep	-	-
prikou	briːɡuː	BRIGU	lexlep	-	-
pritua	prituaː	PRITUA	lexlep	-	-
prituli	prituliː	PRITULI	lexlep	-	-
priś	priʃ	PRIS	lexlep	-	-
pruiam	bruːijaːm	BRUIYAM	lexlep	-	-
pu	pu	PU	lexlep	-	-
pusi	busiː	BUSI	lexlep	-	-
pusionis	pusionis	PUSIONIS	lexlep	-	-
raneni	randeeːniː	RANDEENI	lexlep	-	-
remu	reːmuː	REMU	lexlep	-	-
retalos	reeːtdalos	REETDALOS	lexlep	-	-
reśu	reʃu	RESU	lexlep	-	-
riaśana	riaʃana	RIASANA	lexlep	-	-
rik	riːɡ	RIG	lexlep	-	-
rikanas	riːɡanaːs	RIGANAS	lexlep	-	-
rikoi	riːɡoi̯	RIGOI	lexlep	-	-
rio	rijo	RIYO	lexlep	-	-
riol	rijol	RIYOL	lexlep	-	-
riop	rijop	RIYOP	lexlep	-	-
risi	risi	RISI	lexlep	-	-
rit	rit	RIT	lexlep	-	-
ritukalos	ritukalos	RITUKALOS	lexlep	-	-
riśoi	riʃoi	RISOI	lexlep	-	-
riśos	riʃos	RISOS	lexlep	-	-
rolios	rolːlijos	ROLLIYOS	lexlep	-	-
runelos	ruːnelos	RUNELOS	lexlep	-	-
rupelos	ruːbelos	RUBELOS	lexlep	-	-
sa	saaː	SAA	lexlep	-	-
sapsutai	sapsutai	SAPSUTAI	lexlep	-	-
sasamos	sasamos	SASAMOS	lexlep	-	-
saśadis	saʃadis	SASADIS	lexlep	-	-
se	se	SE	lexlep	-	-
sekenei	seɡeeːnei̯	SEGEENEI	lexlep	-	-
sekezos	seketsos	SEKETSOS	lexlep	-	-
sen	sen	SEN	lexlep	-	-
setupk	setubɡ	SETUBG	lexlep	-	-
setupokios	setuboɡijos	SETUBOGIYOS	lexlep	-	-
seuuonis	seuwoːnis	SEUWONIS	lexlep	-	-
seχeθu	sexeθu	SEKETU	lexlep	-	-
siki	siki	SIKI	lexlep	-	-
sinus	sinus	SINUS	lexlep	-	-
sionpiri	sionpiri	SIONPIRI	lexlep	-	-
siteś	siteʃ	SITES	lexlep	-	-
siuilios	siiːwilːlijos	SIIWILLIYOS	lexlep	-	-
siś	siʃ	SIS	lexlep	-	-
slaniai	slaːnijaːi̯	SLANIYAI	lexlep	-	-
snaśiouitos	snaʃiouitos	SNASIOUITOS	lexlep	-	-
sola	solːlaː	SOLLA	lexlep	-	-
solos	solːlos	SOLLOS	lexlep	-	-
suloikei	suloiɡei̯	SULOIGEI	lexlep	-	-
sunalei	suuːnːnalei̯	SUUNNALEI	lexlep	-	-
sur	suuːr	SUUR	lexlep	-	-
sura	suuːraː	SUURA	lexlep	-	-
surica	suuːrikaː	SUURIKA	lexlep	-	-
sutiuakos	sutiwakos	SUTIWAKOS	lexlep	-	-
ta	ta	TA	lexlep	-	-
tai	tai	TAI	lexlep	-	-
taka	taka	TAKA	lexlep	-	-
takos	tankos	TANKOS	lexlep	-	-
talu	taluː	TALU	lexlep	-	-
tanatani	tanatani	TANATANI	lexlep	-	-
tanotaliknoi	danːotaliknoi̯	DANOTALIKNOI	lexlep	-	-
tanotalos	danːotalos	DANOTALOS	lexlep	-	-
tati	tdaaːntːtdijiː	TDAANTTDIYI	lexlep	-	-
tau	tau	TAU	lexlep	-	-
tekialui	tekːkjaluːi̯	TEKKYALUI	lexlep	-	-
telialui	delːijaluːi̯	DELIYALUI	lexlep	-	-
terialui	tdeeːrːrijaluːi̯	TDEERRIYALUI	lexlep	-	-
teromui	tdeeːrːromːmuːi̯	TDEERROMMUI	lexlep	-	-
tetu	deduː	DEDU	lexlep	-	-
tetumus	tetumus	TETUMUS	lexlep	-	-
