Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ab	ab	AB	wiktionary	near	-
abberet	abberet	ABBERET	wiktionary	carries	-
ad	ad	AD	wiktionary	to	-
aini	aini	AINI	wiktionary	if	-
akala	akala	AKALA	wiktionary	water	-
akke	akke	AKKE	wiktionary	make	-
anar	anar	ANAR	wiktionary	husband	-
as	as	AS	wiktionary	from	-
autos	autos	AUTOS	wiktionary	self	-
aōrō	aōrō	AR	wiktionary	plowed	-
bago	baɡo	BAGO	wiktionary	good	-
bekos	bekos	BEKOS	wiktionary	bread	-
bratere	bratere	BRATERE	wiktionary	brother	-
breit	breit	BREIT	wiktionary	cut	-
bédu	bédu	BDU	wiktionary	water	-
daket	daket	DAKET	wiktionary	makes	-
deos	deos	DEOS	wiktionary	god	-
edaes	edaes	EDAES	wiktionary	placed	-
eitou	eitou	EITOU	wiktionary	let	-
estaes	estaes	ESTAES	wiktionary	to_stand	-
eti	eti	ETI	wiktionary	and	-
ew	ew	EW	wiktionary	good	-
ke	ke	KE	wiktionary	and	-
kin	kin	KIN	wiktionary	who	-
knaikan	knaikan	KNAIKAN	wiktionary	wife	-
knais	knais	KNAIS	wiktionary	woman	-
lawagtaei	lawaɡtaei	LAWAGTAEI	wiktionary	leader	-
matar	matar	MATAR	wiktionary	mother	-
nōrikon	nōrikon	NRIKON	wiktionary	skin	-
onoman	onoman	ONOMAN	wiktionary	name	-
paterēs	paterēs	PATERS	wiktionary	father	-
pinke	pinke	PINKE	wiktionary	five	-
semou	semou	SEMOU	wiktionary	this	-
semoun	semoun	SEMOUN	wiktionary	this	-
thri	tʰri	TRI	wiktionary	three	-
waso	waso	WASO	wiktionary	good	-
zemelōs	zemelōs	SEMELS	wiktionary	man	-
αββερετ	abberet	ABBERET	wiktionary	-	-
ακκε	akke	AKKE	wiktionary	-	-
αναρ	anar	ANAR	wiktionary	-	-
ας	as	AS	wiktionary	-	-
αυτος	autos	AUTOS	wiktionary	-	-
αωρω	aoːroː	AORO	wiktionary	-	-
βέδυ	bedu	BEDU	wiktionary	-	-
βεκος	bekos	BEKOS	wiktionary	-	-
βρατερε	bratere	BRATERE	wiktionary	-	-
βρειτ	breit	BREIT	wiktionary	-	-
δακετ	daket	DAKET	wiktionary	-	-
δεως	deoːs	DEOS	wiktionary	-	-
ε-	e-	E	wiktionary	-	-
εδαες	edaes	EDAES	wiktionary	-	-
ειτου	eitou	EITOU	wiktionary	-	-
εσταες	estaes	ESTAES	wiktionary	-	-
ζεμελως	dzemeloːs	DSEMELOS	wiktionary	-	-
κε	ke	KE	wiktionary	-	-
κιν	kin	KIN	wiktionary	-	-
λαϝαγταει	laϝaɡtaei	LAAGTAEI	wiktionary	-	-
ματαρ	matar	MATAR	wiktionary	-	-
Μιδας	Μidas	IDAS	wiktionary	-	-
νώρικον	noːrikon	NORIKON	wiktionary	-	-
ονομαν	onoman	ONOMAN	wiktionary	-	-
πατερης	patereːs	PATERES	wiktionary	-	-
πινκε	pinke	PINKE	wiktionary	-	-
σεμουν (semoun), σεμου (semou)	semoun (semoun), semou (semou)	SEMOUNSEMOUNSEMOUSEMOU	wiktionary	this	-
κιν (kin) (acc.)	kin (kin) (acc.)	KINKINAKK	wiktionary	who	-
θρι (thri)	tʰri (thri)	TRITHRI	wiktionary	three	-
πινκε (pinke)	pinke (pinke)	PINKEPINKE	wiktionary	five	-
ζεμελως (zemelōs) (dat. pl.)	dzemeloːs (zemelōs) (dat. pl.)	DSEMELOSSEMELSDATPL	wiktionary	man_(adult_male)	-
κναικαν (knaikan) (acc.sg.)	knaikan (knaikan) (acc.sg.)	KNAIKANKNAIKANAKKSG	wiktionary	wife	-
αναρ (anar)	anar (anar)	ANARANAR	wiktionary	husband	-
ματαρ (matar)	matar (matar)	MATARMATAR	wiktionary	mother	-
νώρικον (nṓrikon)	noːrikon (nṓrikon)	NORIKONNRIKON	wiktionary	skin	-
εσταες (estaes) (third-person singular aorist, perfective)	estaes (estaes) (third-person singular aorist, perfective)	ESTAESESTAESTHIRDPERSONSINGULARAORISTPERPEKTIBE	wiktionary	to_stand	-
βέδυ (bédu), ακαλα (akala)	bedu (bédu), akala (akala)	BEDUBDUAKALAAKALA	wiktionary	water	-
βέδυ (bédu)	bedu (bédu)	BEDUBDU	wiktionary	river	-
εϝ- (ew-), βαγο- (bago-), ϝασο (waso)	eϝ- (ew-), baɡo- (bago-), ϝaso (waso)	EEWBAGOBAGOASOWASO	wiktionary	good	-
αβ- (ab-)	ab- (ab-)	ABAB	wiktionary	near	-
κε (ke), ετι (eti)	ke (ke), eti (eti)	KEKEETIETI	wiktionary	and	-
ονομαν (onoman) (acc.)	onoman (onoman) (acc.)	ONOMANONOMANAKK	wiktionary	name	-
