Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
abrof	aproːns	APRONS	ceipom	-	-
abrons	aproːns	APRONS	ceipom	-	-
abrunu	aproːnom	APRONOM	ceipom	-	-
acersoniem	aked-oniaj	AKEDONIAY	ceipom	-	-
acesoniam	akedoniaːm	AKEDONIAM	ceipom	-	-
acetus	anketufos	ANKETUPOS	ceipom	-	-
aciuaiom	akk--ajoːm	AKKAYOM	ceipom	-	-
acnu	atnoːf	ATNOP	ceipom	-	-
adrer	aːdrojs	ADROYS	ceipom	-	-
adrir	aːdrojs	ADROYS	ceipom	-	-
adro	aːdraː	ADRA	ceipom	-	-
aferom	amferom	AMPEROM	ceipom	-	-
aferum	amferom	AMPEROM	ceipom	-	-
afiktu	afiktoːd	APIKTOD	ceipom	-	-
ager	ag-ros	AGROS	ceipom	-	-
agre	agroːd	AGROD	ceipom	-	-
ahal	ahal	AHAL	ceipom	-	-
ahatripursatu	a-atripod-aːtoːd	AATRIPODATOD	ceipom	-	-
ahatrunies	a-atrunijos	AATRUNIYOS	ceipom	-	-
ahauendu	a-awentoːd	AAWENTOD	ceipom	-	-
ahesnes	ajesnojs	AYESNOYS	ceipom	-	-
ahtim	ahtim	AHTIM	ceipom	-	-
ahtis	ahtifos	AHTIPOS	ceipom	-	-
ahtrepuratu	aːtripodaːtoːd	ATRIPODATOD	ceipom	-	-
ahtu	ahtow	AHTOW	ceipom	-	-
ahuidies	af-idjejs	APIDYEYS	ceipom	-	-
aitu	ajjtoːd	AYYTOD	ceipom	-	-
aituta	ajjtoːtaː	AYYTOTA	ceipom	-	-
aiu	ajjaː	AYYA	ceipom	-	-
akeruniam	akedoniaːm	AKEDONIAM	ceipom	-	-
akerunie	akedoːniaj	AKEDONIAY	ceipom	-	-
akru	akroːd	AKROD	ceipom	-	-
alfer	alfojs	ALPOYS	ceipom	-	-
alfir	alfojs	ALPOYS	ceipom	-	-
alfu	alfoːf	ALPOP	ceipom	-	-
amboltu	ampeltoːd	AMPELTOD	ceipom	-	-
ambrefurent	amprajejfusent	AMPRAYEYPUSENT	ceipom	-	-
ambretuto	amprajejtoːtaː	AMPRAYEYTOTA	ceipom	-	-
amparihmu	ampariːmoːd	AMPARIMOD	ceipom	-	-
amparitu	ampariːtoːd	AMPARITOD	ceipom	-	-
ampentu	ampelntoːd	AMPELNTOD	ceipom	-	-
amperia	ampedjaːd	AMPEDYAD	ceipom	-	-
ampetu	ampelntoːd	AMPELNTOD	ceipom	-	-
amprefuus	amprefuːs	AMPREPUS	ceipom	-	-
amprehtu	amprajejtoːd	AMPRAYEYTOD	ceipom	-	-
ancif	ankiːf	ANKIP	ceipom	-	-
ancla	anklaːf	ANKLAP	ceipom	-	-
anclar	anklaːs	ANKLAS	ceipom	-	-
andendu	antelntoːd	ANTELNTOD	ceipom	-	-
andersafust	anded-aːfefoːst	ANDEDAPEPOST	ceipom	-	-
andersesust	andersedoːst	ANDERSEDOST	ceipom	-	-
andersistu	andersistoːd	ANDERSISTOD	ceipom	-	-
anderuacos	anterwakaːtos	ANTERWAKATOS	ceipom	-	-
anderuomu	anderwomtoːd	ANDERWOMTOD	ceipom	-	-
andirsafust	anded-aːfefoːst	ANDEDAPEPOST	ceipom	-	-
anfehtaf	anfeːtaːf	ANPETAP	ceipom	-	-
anferener	amferendejs	AMPERENDEYS	ceipom	-	-
angla	anklaːf	ANKLAP	ceipom	-	-
anglaf	anklaːf	ANKLAP	ceipom	-	-
anglom	anglom	ANGLOM	ceipom	-	-
angluto	anglutoːd	ANGLUTOD	ceipom	-	-
anhostatir	anhostaːtojs	ANHOSTATOYS	ceipom	-	-
anhostatu	anhostaːtoːs	ANHOSTATOS	ceipom	-	-
anostatir	anhostaːtojs	ANHOSTATOYS	ceipom	-	-
anostatu	anhostaːtoːs	ANHOSTATOS	ceipom	-	-
anouihimu	anowi-imoːd	ANOWIIMOD	ceipom	-	-
anpenes	ampelness	AMPELNESS	ceipom	-	-
anpu	ampu?	AMPU	ceipom	-	-
anseriato	anserjaːtum	ANSERYATUM	ceipom	-	-
ansihitir	ansi-itejs	ANSIITEYS	ceipom	-	-
ansihitu	anki-itoːf	ANKIITOP	ceipom	-	-
anstintu	anstingtoːd	ANSTINGTOD	ceipom	-	-
anstiplatu	ansteplaːtoːd	ANSTEPLATOD	ceipom	-	-
antakre	antagrojs	ANTAGROYS	ceipom	-	-
antakres	antagrojs	ANTAGROYS	ceipom	-	-
antentu	antelntoːd	ANTELNTOD	ceipom	-	-
antermenzaru	antermensaːsoːm	ANTERMENSASOM	ceipom	-	-
antervakaz	anterwakaːtos	ANTERWAKATOS	ceipom	-	-
anzeriates	anserjaːtojs	ANSERYATOYS	ceipom	-	-
anzeriatu	anserjaːtumm	ANSERYATUMM	ceipom	-	-
ap	appe	APPE	ceipom	-	-
ape	appe	APPE	ceipom	-	-
apehtre	apektereːd	APEKTERED	ceipom	-	-
apelus	ampeloːss	AMPELOSS	ceipom	-	-
apelust	ampeloːst	AMPELOST	ceipom	-	-
apentu	ampelntoːd	AMPELNTOD	ceipom	-	-
api	appe	APPE	ceipom	-	-
aplenia	ampleːnjaː	AMPLENYA	ceipom	-	-
aplenies	ampleːnjojs	AMPLENYOYS	ceipom	-	-
aplone	appelloːnej	APPELLONEY	ceipom	-	-
apols	apolloːnejs	APOLLONEYS	ceipom	-	-
appei	appe-	APPE	ceipom	-	-
apretu	amprajejtoːd	AMPRAYEYTOD	ceipom	-	-
apruf	aproːns	APRONS	ceipom	-	-
ar	ad	AD	ceipom	-	-
arclataf	arkelaːtaːf	ARKELATAP	ceipom	-	-
arepe	adepajs	ADEPAYS	ceipom	-	-
areper	adepajs	ADEPAYS	ceipom	-	-
arepes	adepajs	ADEPAYS	ceipom	-	-
arfertur	adfertoːr	ADPERTOR	ceipom	-	-
arferture	adfertoːri	ADPERTORI	ceipom	-	-
