Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ereli	ereli	ERELI	wiktionary	king	-
esi	esi	ESI	wiktionary	place	-
šuri	ʃuri	SURI	wiktionary	weapon	-
ag	aɡ	AG	wiktionary	to lead	-
ar	ar	AR	wiktionary	to give	-
man	man	MAN	wiktionary	to be	-
nun	nun	NUN	wiktionary	to come	-
Arṣiba	artsʼiba	ARTSIBA	wiktionary	eagle	-
arde	arde	ARDE	wiktionary	town	-
ašti	aʃti	ASTI	wiktionary	woman	-
awari	awari	AWARI	wiktionary	field	-
kade	kade	KADE	wiktionary	barley	-
pile	pile	PILE	wiktionary	canal	-
sane	sane	SANE	wiktionary	kettle	-
šure	ʃure	SURE	wiktionary	sword	-
šaluri	ʃaluri	SALURI	wiktionary	plum	-
ṣare	tsʼare	TSARE	wiktionary	garden	-
ḫinzuri	xintsuri	KINTSURI	wiktionary	apple	-
ebani	ebani	EBANI	wiktionary	country	-
edi	edi	EDI	wiktionary	person	-
qiura	qiura	KIURA	wiktionary	earth	-
parə	parə	PARE	wiktionary	towards	-
pei	pei	PEI	wiktionary	under	-
eue	eue	EUE	wiktionary	and	-
ašə	aʃə	ASE	wiktionary	when	-
alə	alə	ALE	wiktionary	that which	-
ušt	uʃt	UST	wiktionary	to march forth	-
kar	kar	KAR	wiktionary	to conquer	-
kuṭ	kutʼ	KUT	wiktionary	to reach	-
šidišt	ʃidiʃt	SIDIST	wiktionary	to build	-
ḫa	xa	KA	wiktionary	to take	-
naḫ	nax	NAK	wiktionary	to ascend	-
qapqar	qapqar	KAPKAR	wiktionary	to besiege	-
urp	urp	URP	wiktionary	to slaughter	-
ul-ṭu	ultʼu	ULTU	wiktionary	camel	-
tarayə	tarajə	TARAYE	wiktionary	great	-
arə	arə	ARE	wiktionary	granary	-
badusi	badusi	BADUSI	wiktionary	perfection	-
ušmašinə	uʃmaʃinə	USMASINE	wiktionary	might	-
alsuišə	alsuiʃə	ALSUISE	wiktionary	greatness	-
ardišə	ardiʃə	ARDISE	wiktionary	order	-
arniušə	arniuʃə	ARNIUSE	wiktionary	deed	-
aqarqi	aqarqi	AKARKI	wiktionary	unit of measurement	-
ṭerusi	tʼerusi	TERUSI	wiktionary	unit of measurement	-
DANNU	DANNU	00000	oracc_ecut	strong	-
HALṢI	HALṢI	H000	oracc_ecut	filtered_(oil)	-
PITHALLU	PITHALLU	000H0000	oracc_ecut	horseman	-
TÎLLI	TÎLLI	0000	oracc_ecut	weapon	-
U₄-ME	U₄-ME	000	oracc_ecut	day	-
A	A	0	oracc_ecut	water	-
AB₂	AB₂	00	oracc_ecut	cow	-
AB₂.BABBAR	AB₂.BABBAR	00000000	oracc_ecut	immaculate_cow	-
AGRIG	AGRIG	00000	oracc_ecut	housekeeper	-
AM.SI	AM.SI	0000	oracc_ecut	elephant	-
AN.BAR	AN.BAR	00000	oracc_ecut	iron	-
ANŠE	ANŠE	000	oracc_ecut	donkey	-
ANŠE.A.AB.BA	ANŠE.A.AB.BA	00000000	oracc_ecut	camel	-
ANŠE.GIR₃.NUN.NA	ANŠE.GIR₃.NUN.NA	00000000000	oracc_ecut	mule	-
ANŠE.KUR.RA	ANŠE.KUR.RA	00000000	oracc_ecut	horse	-
A₂	A₂	0	oracc_ecut	arm	-
BA	BA	00	oracc_ecut	give	-
BAL-te	BAL-te	000TE	oracc_ecut	(meaning_unknown)	-
BAN	BAN	000	oracc_ecut	bow	-
BANEŠ	BANEŠ	0000	oracc_ecut	(measurement_unit_for_arid_products	-
BAR	BAR	000	oracc_ecut	foreign	-
BARA₂	BARA₂	0000	oracc_ecut	cult_dais	-
BĒLU	BĒLU	000	oracc_ecut	lord	-
BI-BU	BI-BU	0000	oracc_ecut	livestock_=_urartian_niribe	-
DINGIR	DINGIR	000000	oracc_ecut	god	-
DINGIR.NIN	DINGIR.NIN	000000000	oracc_ecut	goddess	-
DUB	DUB	000	oracc_ecut	inscription	-
DU₃	DU₃	00	oracc_ecut	make	-
DU₆	DU₆	00	oracc_ecut	hill	-
EN	EN	00	oracc_ecut	lord	-
EN.NAM	EN.NAM	00000	oracc_ecut	(governor)	-
EN-SI	EN-SI	0000	oracc_ecut	lord	-
ERIN₂	ERIN₂	0000	oracc_ecut	soldier	-
E₂	E₂	0	oracc_ecut	house	-
E₂.BARA₂	E₂.BARA₂	00000	oracc_ecut	cult_dais	-
E₂.GAL	E₂.GAL	0000	oracc_ecut	fortress	-
E₂.KIŠIB	E₂.KIŠIB	00000	oracc_ecut	seal_house	-
E₂.URU₄	E₂.URU₄	0000	oracc_ecut	foundation	-
GAL	GAL	000	oracc_ecut	big	-
GAN₂	GAN₂	000	oracc_ecut	field	-
GAR	GAR	000	oracc_ecut	occupy	-
GAR₃	GAR₃	000	oracc_ecut	(meaning_unknown)	-
GEŠTIN	GEŠTIN	00000	oracc_ecut	wine	-
GIBIL	GIBIL	00000	oracc_ecut	new	-
GIBIL₂	GIBIL₂	00000	oracc_ecut	burn	-
GIG	GIG	000	oracc_ecut	wheat	-
GIR₂	GIR₂	000	oracc_ecut	sword	-
GIR₂.BAR	GIR₂.BAR	000000	oracc_ecut	dagger	-
GIR₃	GIR₃	000	oracc_ecut	foot	-
GIŠ	GIŠ	00	oracc_ecut	tree	-
GUŠKIN	GUŠKIN	00000	oracc_ecut	gold	-
GU₄	GU₄	00	oracc_ecut	ox	-
GU₄.AB₂	GU₄.AB₂	0000	oracc_ecut	cow	-
IM	IM	00	oracc_ecut	clay_tablet	-
INIM	INIM	0000	oracc_ecut	word	-
IR₃	IR₃	00	oracc_ecut	servant	-
IR₃-ašt-	IR₃-aʃt-	00AST	oracc_ecut	make_someone_a_servant	-
ITU	ITU	000	oracc_ecut	month	-
I₂	I₂	0	oracc_ecut	river	-
I₃	I₃	0	oracc_ecut	oil	-
KASKAL	KASKAL	000000	oracc_ecut	way	-
KA₂	KA₂	00	oracc_ecut	gate	-
KI	KI	00	oracc_ecut	earth	-
KI.MIN	KI.MIN	00000	oracc_ecut	as_well	-
KIN	KIN	000	oracc_ecut	work	-
KIŠIB	KIŠIB	0000	oracc_ecut	seal	-
KU.X	KU.X	000	oracc_ecut	(meaning_unknown)	-
KUR	KUR	000	oracc_ecut	land	-
KUR.KUR₂	KUR.KUR₂	000000	oracc_ecut	enemy_country	-
KUR₂	KUR₂	000	oracc_ecut	enemy	-
KU₂	KU₂	00	oracc_ecut	devastate	-
KU₂-	KU₂-	00	oracc_ecut	devastate_=_urartian_at-	-
KU₃	KU₃	00	oracc_ecut	clean	-
KU₃.BABBAR	KU₃.BABBAR	00000000	oracc_ecut	silver	-
LIM	LIM	000	oracc_ecut	thousand	-
LIŠ	LIŠ	00	oracc_ecut	(a_measurement_unit_for_cereals)	-
LUGAL	LUGAL	00000	oracc_ecut	king	-
LU₂	LU₂	00	oracc_ecut	man	-
LU₂.ANŠE.GIR₃.NUN.NA	LU₂.ANŠE.GIR₃.NUN.NA	0000000000000	oracc_ecut	muleteer	-
LU₂.DINGIR	LU₂.DINGIR	00000000	oracc_ecut	priest?	-
LU₂.E₂.GAL	LU₂.E₂.GAL	000000	oracc_ecut	fortress_functionary	-
LU₂.IGI.LA₂	LU₂.IGI.LA₂	0000000	oracc_ecut	overseer	-
LU₂.KUR.KUR	LU₂.KUR.KUR	00000000	oracc_ecut	foreigner?	-
LU₂.KU₃	LU₂.KU₃	0000	oracc_ecut	smith	-
LU₂.NA₄.DIB	LU₂.NA₄.DIB	0000000	oracc_ecut	seal_holder	-
LU₂.ŠÁ.SAG	LU₂.ŠÁ.SAG	00000	oracc_ecut	principal	-
LU₂-tuhi	LU₂-tuxi	00TUKI	oracc_ecut	people	-
LU₂.TUR	LU₂.TUR	00000	oracc_ecut	young_man	-
LU₂.UKKIN	LU₂.UKKIN	0000000	oracc_ecut	man_of_the_assembly	-
LU₂.10-li	LU₂.10-li	00LI	oracc_ecut	decurion	-
MA.NA	MA.NA	0000	oracc_ecut	mina	-
MAN	MAN	000	oracc_ecut	king	-
MAN-nu-	MAN-nu-	000NU	oracc_ecut	become_king	-
MAN-nud-	MAN-nud-	000NUD	oracc_ecut	dethrone?	-
MAN-nusi	MAN-nusi	000NUSI	oracc_ecut	royal	-
MAN-tuhi	MAN-tuxi	000TUKI	oracc_ecut	kingship	-
MAN-usi	MAN-usi	000USI	oracc_ecut	royal	-
MAŠ₂.TUR	MAŠ₂.TUR	00000	oracc_ecut	kid	-
ME	ME	00	oracc_ecut	hundred	-
MU	MU	00	oracc_ecut	year	-
MU.MU	MU.MU	0000	oracc_ecut	annually	-
MUNUS	MUNUS	00000	oracc_ecut	woman	-
MUNUS.GAD	MUNUS.GAD	00000000	oracc_ecut	weaver	-
MUNUS.LUGAL	MUNUS.LUGAL	0000000000	oracc_ecut	queen	-
NA₄	NA₄	00	oracc_ecut	stone	-
NIG₂.BA	NIG₂.BA	00000	oracc_ecut	dedicate	-
NIG₂.GA	NIG₂.GA	00000	oracc_ecut	treasury	-
NINDA	NINDA	00000	oracc_ecut	bread	-
NU	NU	00	oracc_ecut	not	-
NUMUN	NUMUN	00000	oracc_ecut	offspring	-
NUMUN.NUMUN	NUMUN.NUMUN	0000000000	oracc_ecut	offspring_of_offspring	-
PAP	PAP	000	oracc_ecut	altogether	-
PA₅	PA₅	00	oracc_ecut	canal	-
SI	SI	00	oracc_ecut	horn	-
SIG₅	SIG₅	000	oracc_ecut	good	-
SIG₇	SIG₇	000	oracc_ecut	green	-
SIKIL	SIKIL	00000	oracc_ecut	pure	-
SILIM	SILIM	00000	oracc_ecut	favorable	-
SUM	SUM	000	oracc_ecut	give	-
ŠA₃	ŠA₃	0	oracc_ecut	interior	-
ŠE	ŠE	0	oracc_ecut	fat	-
ŠE.PAD	ŠE.PAD	0000	oracc_ecut	barley	-
šid-	ʃid-	SID	oracc_ecut	build	-
ŠUM	ŠUM	00	oracc_ecut	sacrifice	-
TEMEN	TEMEN	00000	oracc_ecut	foundation	-
TI	TI	00	oracc_ecut	life	-
TI.LA	TI.LA	0000	oracc_ecut	alive	-
TUG₂	TUG₂	000	oracc_ecut	fabric	-
TUKUL	TUKUL	00000	oracc_ecut	weapon	-
UDU	UDU	000	oracc_ecut	sheep	-
UDU.GAL	UDU.GAL	000000	oracc_ecut	full-grown_sheep	-
UDU.MAŠ₂	UDU.MAŠ₂	00000	oracc_ecut	kid	-
UDU.MAŠ₂.TUR	UDU.MAŠ₂.TUR	00000000	oracc_ecut	lamb	-
UDU.NITA₂	UDU.NITA₂	0000000	oracc_ecut	ram	-
UKKIN	UKKIN	00000	oracc_ecut	assembly	-
UN	UN	00	oracc_ecut	people	-
URI₃.GAL	URI₃.GAL	000000	oracc_ecut	standard	-
URU	URU	000	oracc_ecut	city	-
URU.LUGAL	URU.LUGAL	00000000	oracc_ecut	royal_city	-
URU.TUR	URU.TUR	000000	oracc_ecut	small_city	-
URUDU	URUDU	00000	oracc_ecut	bronze	-
UR₄	UR₄	00	oracc_ecut	ground?	-
U₂.ŠE	U₂.ŠE	00	oracc_ecut	grain	-
ʾah-	ʾax-	AK	oracc_ecut	assemble	-
ʾald-	ʾald-	ALD	oracc_ecut	put_under	-
ʾari	ʾari	ARI	oracc_ecut	silo	-
ʾaše	ʾaʃe	ASE	oracc_ecut	man	-
A.SI	A.SI	000	oracc_ecut	soldier	-
ab-	ab-	AB	oracc_ecut	ask_for	-
abilid-	abilid-	ABILID	oracc_ecut	add	-
absie	absie	ABSIE	oracc_ecut	surely?	-
absiei	absiei	ABSIEI	oracc_ecut	surely?	-
AD	AD	00	oracc_ecut	father	-
AD.AD	AD.AD	0000	oracc_ecut	grandfather	-
AD-usi	AD-usi	00USI	oracc_ecut	fatherly	-
adanusa	adanusa	ADANUSA	oracc_ecut	(a_kind_of_stone)	-
adinni	adinni	ADINNI	oracc_ecut	(meaning_unknown)	-
adiras-	adiras-	ADIRAS	oracc_ecut	be_afraid_of	-
aduleṣi	aduleṣi	ADULEI	oracc_ecut	(meaning_unknown)	-
adunusi	adunusi	ADUNUSI	oracc_ecut	(a_building)	-
ae	ae	AE	oracc_ecut	(meaning_unknown)	-
ag-	aɡ-	AG	oracc_ecut	lead	-
agunu	aɡunu	AGUNU	oracc_ecut	fortified	-
ahalini	axalini	AKALINI	oracc_ecut	(meaning_unknown)	-
ai	ai	AI	oracc_ecut	or	-
aie	aie	AIE	oracc_ecut	(meaning_unknown)	-
ainei	ainei	AINEI	oracc_ecut	another_one	-
aiše	aiʃe	AISE	oracc_ecut	anybody	-
aišt-	aiʃt-	AIST	oracc_ecut	jump	-
akaie	akaie	AKAIE	oracc_ecut	(meaning_unknown)	-
al-	al-	AL	oracc_ecut	say	-
alasašili	alasaʃili	ALASASILI	oracc_ecut	(meaning_unknown)	-
alaṣi	alaṣi	ALAI	oracc_ecut	(meaning_unknown)	-
alau	alau	ALAU	oracc_ecut	lord	-
Aldi	Aldi	0LDI	oracc_ecut	urartian_national_god_=_haldi	-
aldini	aldini	ALDINI	oracc_ecut	(meaning_unknown)	-
algani	alɡani	ALGANI	oracc_ecut	mountain_pass?	-
ali	ali	ALI	oracc_ecut	who	-
aliki	aliki	ALIKI	oracc_ecut	some	-
alsuini	alsuini	ALSUINI	oracc_ecut	great	-
alsuiše	alsuiʃe	ALSUISE	oracc_ecut	greatness	-
aluki	aluki	ALUKI	oracc_ecut	he_who	-
alulani	alulani	ALULANI	oracc_ecut	(meaning_unknown)	-
alulatini	alulatini	ALULATINI	oracc_ecut	(meaning_unknown)	-
alusi	alusi	ALUSI	oracc_ecut	lord	-
alzinai	altsinai	ALTSINAI	oracc_ecut	(meaning_unknown)	-
am-	am-	AM	oracc_ecut	burn	-
amašt-	amaʃt-	AMAST	oracc_ecut	set_on_fire	-
amei	amei	AMEI	oracc_ecut	(meaning_unknown)	-
amerieši	amerieʃi	AMERIESI	oracc_ecut	(a_category_of_men_or_workers)	-
amudi	amudi	AMUDI	oracc_ecut	(meaning_unknown)	-
andani	andani	ANDANI	oracc_ecut	on_the_right_side?	-
aniarduni	aniarduni	ANIARDUNI	oracc_ecut	vigorous?	-
apti	apti	APTI	oracc_ecut	side	-
ar-	ar-	AR	oracc_ecut	give	-
araphini	arapxini	ARAPKINI	oracc_ecut	(meaning_unknown)	-
arayi	arayi	ARAUI	oracc_ecut	(meaning_unknown)	-
ard-	ard-	ARD	oracc_ecut	give	-
arda	arda	ARDA	oracc_ecut	(meaning_unknown)	-
ardini	ardini	ARDINI	oracc_ecut	(meaning_unknown)	-
ardiše	ardiʃe	ARDISE	oracc_ecut	order	-
arduni	arduni	ARDUNI	oracc_ecut	offer	-
Argištihinili	Arɡiʃtixinili	0RGISTIKINILI	oracc_ecut	name_of_a_fortress_built_by_argišti_i	-
arhi	arxi	ARKI	oracc_ecut	(probably_a_human_need_like_food	-
aribirid-	aribirid-	ARIBIRID	oracc_ecut	show_up	-
aributai	aributai	ARIBUTAI	oracc_ecut	(meaning_unknown)	-
ariše	ariʃe	ARISE	oracc_ecut	delivery?	-
armuzi	armutsi	ARMUTSI	oracc_ecut	seed	-
arni	arni	ARNI	oracc_ecut	favor?	-
arniuše	arniuʃe	ARNIUSE	oracc_ecut	deed	-
arniuši	arniuʃi	ARNIUSI	oracc_ecut	deed	-
arnu-	arnu-	ARNU	oracc_ecut	rebel?	-
arpaue	arpaue	ARPAUE	oracc_ecut	(meaning_unknown)	-
arqauše	arqauʃe	ARKAUSE	oracc_ecut	(meaning_unknown)	-
arudi	arudi	ARUDI	oracc_ecut	(a_profession)	-
aruše	aruʃe	ARUSE	oracc_ecut	(a_positive_quality)	-
asuahina	asuaxina	ASUAKINA	oracc_ecut	(meaning_unknown)	-
asuni	asuni	ASUNI	oracc_ecut	near	-
aṣuli	aṣuli	AULI	oracc_ecut	(an_official)	-
aṣuše	aṣuʃe	AUSE	oracc_ecut	prosperity?	-
aš-	aʃ-	AS	oracc_ecut	leave	-
ašazie	aʃatsie	ASATSIE	oracc_ecut	(meaning_unknown)	-
ašd-	aʃd-	ASD	oracc_ecut	incorporate?	-
aše	aʃe	ASE	oracc_ecut	shield	-
ašg-	aʃɡ-	ASG	oracc_ecut	defeat	-
ašh-	aʃx-	ASK	oracc_ecut	offer	-
ašhašt-	aʃxaʃt-	ASKAST	oracc_ecut	sacrifice	-
ašihusi	aʃixusi	ASIKUSI	oracc_ecut	banquet_hall?	-
ašini	aʃini	ASINI	oracc_ecut	(meaning_unknown)	-
aškaṭini	aʃkaṭini	ASKAINI	oracc_ecut	(meaning_unknown)	-
ašt-	aʃt-	AST	oracc_ecut	(meaning_unknown)	-
aštiuzi	aʃtiutsi	ASTIUTSI	oracc_ecut	(meaning_unknown)	-
ašul-	aʃul-	ASUL	oracc_ecut	withdraw	-
ašzie	aʃtsie	ASTSIE	oracc_ecut	(meaning_unknown)	-
at-	at-	AT	oracc_ecut	devastate	-
atara	atara	ATARA	oracc_ecut	also?	-
ate	ate	ATE	oracc_ecut	father	-
ath-	atx-	ATK	oracc_ecut	dig	-
atibi	atibi	ATIBI	oracc_ecut	ten_thousand?	-
atqana	atqana	ATKANA	oracc_ecut	sacrifice	-
atqanad-	atqanad-	ATKANAD	oracc_ecut	offer	-
aṭ-	aṭ-	A	oracc_ecut	deposit?	-
auaraši	auaraʃi	AUARASI	oracc_ecut	(auraši_man	-
audi	audi	AUDI	oracc_ecut	(meaning_unknown)	-
aueiṭini	aueiṭini	AUEIINI	oracc_ecut	(a_kind_of_troop?)	-
auie	auie	AUIE	oracc_ecut	anywhere?	-
azibi	atsibi	ATSIBI	oracc_ecut	(meaning_unknown)	-
babani	babani	BABANI	oracc_ecut	mountain	-
badgul-	badɡul-	BADGUL	oracc_ecut	occupy?	-
badi	badi	BADI	oracc_ecut	frontier	-
barzani	bartsani	BARTSANI	oracc_ecut	(meaning_unknown)	-
barzidibduni	bartsidibduni	BARTSIDIBDUNI	oracc_ecut	(a_building)	-
barzudibdu	bartsudibdu	BARTSUDIBDU	oracc_ecut	(a_kind_of_sacrifice?)	-
batq-	batq-	BATK	oracc_ecut	re-establish?	-
bauše	bauʃe	BAUSE	oracc_ecut	word	-
bedi	bedi	BEDI	oracc_ecut	part	-
bedini	bedini	BEDINI	oracc_ecut	on_behalf_of	-
bid-	bid-	BID	oracc_ecut	return?	-
biduiaše	biduiaʃe	BIDUIASE	oracc_ecut	return	-
bura	bura	BURA	oracc_ecut	servant	-
burašt-	buraʃt-	BURAST	oracc_ecut	subjugate	-
burgala	burɡala	BURGALA	oracc_ecut	enemy	-
burganani	burɡanani	BURGANANI	oracc_ecut	pen?	-
da	da	DA	oracc_ecut	(meaning_unknown)	-
daši	daʃi	DASI	oracc_ecut	light?	-
dašusi	daʃusi	DASUSI	oracc_ecut	candelabrum	-
didguši	didɡuʃi	DIDGUSI	oracc_ecut	fat?	-
diri	diri	DIRI	oracc_ecut	(meaning_unknown)	-
diruši	diruʃi	DIRUSI	oracc_ecut	(a_hypostasis_of_the_god_haldi_or_a_deified_attrib	-
du-	du-	DU	oracc_ecut	do	-
dudie	dudie	DUDIE	oracc_ecut	(meaning_unknown)	-
DUMU	DUMU	0000	oracc_ecut	son	-
duni	duni	DUNI	oracc_ecut	(meaning_unknown)	-
durb-	durb-	DURB	oracc_ecut	revolt	-
durbae	durbae	DURBAE	oracc_ecut	rebel	-
edia	edia	EDIA	oracc_ecut	towards	-
edini	edini	EDINI	oracc_ecut	from	-
eguruhu	eɡuruxu	EGURUKU	oracc_ecut	separated?	-
ehini	exini	EKINI	oracc_ecut	(meaning_unknown)	-
eiardiše	eiardiʃe	EIARDISE	oracc_ecut	strength_of_a_lion?	-
ekuše	ekuʃe	EKUSE	oracc_ecut	(a_positive_quality_or_state)	-
elmuše	elmuʃe	ELMUSE	oracc_ecut	(a_positive_quality_or_state)	-
eludi	eludi	ELUDI	oracc_ecut	(meaning_unknown)	-
eme	eme	EME	oracc_ecut	(meaning_unknown)	-
erašini	eraʃini	ERASINI	oracc_ecut	(meaning_unknown)	-
erili	erili	ERILI	oracc_ecut	king	-
erilinusi	erilinusi	ERILINUSI	oracc_ecut	royalty	-
ERIN₂.GIR₃	ERIN₂.GIR₃	0000000	oracc_ecut	footsoldier	-
erṣid-	erṣid-	ERID	oracc_ecut	settle	-
esidini	esidini	ESIDINI	oracc_ecut	(meaning_unknown)	-
ešiaṣ-	eʃiaṣ-	ESIA	oracc_ecut	decrease?	-
ešiate	eʃiate	ESIATE	oracc_ecut	(a_category_of_men_or_profession)	-
ešimeṣi	eʃimeṣi	ESIMEI	oracc_ecut	(a_positive_quality_or_state)	-
ešinini	eʃinini	ESININI	oracc_ecut	inhabitated	-
euri	euri	EURI	oracc_ecut	lord	-
E₂.DIN	E₂.DIN	0000	oracc_ecut	builder	-
GABA	GABA	0000	oracc_ecut	rival	-
GABA.RI	GABA.RI	000000	oracc_ecut	rival	-
GAG.TI	GAG.TI	00000	oracc_ecut	arrow	-
