Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
adan	adan	ADAN	ceipom	-	-
adiio	adiːo	ADIO	ceipom	-	-
ae	ae	AE	ceipom	-	-
aeca	aeca	AEKA	ceipom	-	-
ahugiia	ahugiːa	AHUGIA	ceipom	-	-
ai	ai	AI	ceipom	-	-
aiinioi	aiːnioi	AINIOI	ceipom	-	-
aios	aios	AIOS	ceipom	-	-
aisakna	aisakna	AISAKNA	ceipom	-	-
aisun	aisun	AISUN	ceipom	-	-
aisus	aisus	AISUS	ceipom	-	-
ajokos	ajokos	AYOKOS	ceipom	-	-
akisinioi	akisinioi	AKISINIOI	ceipom	-	-
aklon	aklon	AKLON	ceipom	-	-
akut	akut	AKUT	ceipom	-	-
akutiioi	akutiːoi	AKUTIOI	ceipom	-	-
akutnai	akutnai	AKUTNAI	ceipom	-	-
akutoi	akutoi	AKUTOI	ceipom	-	-
akuts	akuts	AKUTS	ceipom	-	-
albareniioi	albareniːoi	ALBARENIOI	ceipom	-	-
alkomno	alkomno	ALKOMNO	ceipom	-	-
allo	allo	ALLO	ceipom	-	-
alth	alth	ALTH	ceipom	-	-
althin	althin	ALTHIN	ceipom	-	-
althinom	althinom	ALTHINOM	ceipom	-	-
althn	althn	ALTHN	ceipom	-	-
althnoi	althnoi	ALTHNOI	ceipom	-	-
amar	amar	AMAR	ceipom	-	-
ametikus	ametikus	AMETIKUS	ceipom	-	-
ammenkos	ammenkos	AMMENKOS	ceipom	-	-
andeticobos	andeticobos	ANDETIKOBOS	ceipom	-	-
andetinai	andetinai	ANDETINAI	ceipom	-	-
ansores	ansores	ANSORES	ceipom	-	-
ant	ant	ANT	ceipom	-	-
antaveiioi	antaveiːoi	ANTABEIOI	ceipom	-	-
ao	ao	AO	ceipom	-	-
ap	ap	AP	ceipom	-	-
apero	apero	APERO	ceipom	-	-
aplisikos	aplisikos	APLISIKOS	ceipom	-	-
appinivs	appinivs	APPINIBS	ceipom	-	-
appioi	appioi	APPIOI	ceipom	-	-
arbonkos	arbonkos	ARBONKOS	ceipom	-	-
arbos	arbos	ARBOS	ceipom	-	-
are	are	ARE	ceipom	-	-
ariai	ariai	ARIAI	ceipom	-	-
ariiuns	ariːuns	ARIUNS	ceipom	-	-
arioi	arioi	ARIOI	ceipom	-	-
ars	ars	ARS	ceipom	-	-
arspetijakos	arspetijakos	ARSPETIYAKOS	ceipom	-	-
artos	artos	ARTOS	ceipom	-	-
as	as	AS	ceipom	-	-
askoniai	askoniai	ASKONIAI	ceipom	-	-
ataina	ataina	ATAINA	ceipom	-	-
atei	atei	ATEI	ceipom	-	-
atis	atis	ATIS	ceipom	-	-
atisteit	atisteit	ATISTEIT	ceipom	-	-
atra	atra	ATRA	ceipom	-	-
atta	atta	ATTA	ceipom	-	-
atto	atto	ATTO	ceipom	-	-
au	au	AU	ceipom	-	-
augar	augar	AUGAR	ceipom	-	-
augeriioi	augeriːoi	AUGERIOI	ceipom	-	-
avhroi	avhroi	ABHROI	ceipom	-	-
avinos	avinos	ABINOS	ceipom	-	-
aviro	aviro	ABIRO	ceipom	-	-
ba	ba	BA	ceipom	-	-
baloni	baloni	BALONI	ceipom	-	-
biallenioi	biallenioi	BIALLENIOI	ceipom	-	-
boiiios	boiːios	BOIIOS	ceipom	-	-
boiknos	boiknos	BOIKNOS	ceipom	-	-
bri	bri	BRI	ceipom	-	-
brigdinai	brigdinai	BRIGDINAI	ceipom	-	-
bris	bris	BRIS	ceipom	-	-
broijokos	broijokos	BROIYOKOS	ceipom	-	-
bukka	bukka	BUKKA	ceipom	-	-
butijakos	butijakos	BUTIYAKOS	ceipom	-	-
cani	cani	KANI	ceipom	-	-
canta	canta	KANTA	ceipom	-	-
carponia	carponia	KARPONIA	ceipom	-	-
cattonico	cattonico	KATTONIKO	ceipom	-	-
cevtei	cevtei	KEBTEI	ceipom	-	-
cevteni	cevteni	KEBTENI	ceipom	-	-
cevtini	cevtini	KEBTINI	ceipom	-	-
crvmelonia	crvmelonia	KRBMELONIA	ceipom	-	-
crvmelonioi	crvmelonioi	KRBMELONIOI	ceipom	-	-
da	da	DA	ceipom	-	-
